Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
80	11415	Pasquantino, Vinnie	KC	1B	82.58	37	118		749		
81	10235	Luzardo, Jesus	PHI	P	82.85	51	146		749		
82	11099	Bradish, Kyle	BAL	P	82.93	53	149		749		
83	12203	Baldwin, Drake	ATL	C	86.48	43	139		749		
84	11071	Soderstrom, Tyler	ATH	OF, 1B	88.98	46	125		749		
85	10671	Arozarena, Randy	SEA	OF	90.28	40	123		749		
86	9328	Snell, Blake	LAD	P	91.45	38	243		749		
87	11305	Suzuki, Seiya	CHC	OF	92.80	39	128		749		
88	11309	Pena, Jeremy	HOU	SS	93.24	33	143		749		
89	8134	Perez, Salvador	KC	C, 1B	94.23	31	134		749		
90	11591	Perez, Eury	MIA	P	95.17	41	189		749		
91	10083	Valdez, Framber	DET	P	95.39	62	148		749		
92	9570	Pivetta, Nick	SD	P	96.03	43	150		749		
93	9294	Estevez, Carlos	KC	P	96.12	43	273		749		
94	10305	Cruz, Oneil	PIT	OF	96.76	25	143		749		
95	8433	Springer, George	TOR	OF	97.69	31	153		749		
96	8981	Iglesias, Raisel	ATL	P	98.02	42	259		749		
97	11065	Harris II, Michael	ATL	OF	98.50	56	129		749		
98	8668	Seager, Corey	TEX	SS	98.55	32	132		749		
99	10363	Smith, Will	LAD	C	100.24	49	153		749		
100	9820	Bichette, Bo	NYM	SS	100.40	48	162		749		
101	10302	Hoerner, Nico	CHC	2B	102.57	49	155		749		
102	12443	McLean, Nolan	NYM	P	103.44	63	190		749		
103	8658	Story, Trevor	BOS	SS	104.41	36	150		749		
104	10321	Helsley, Ryan	BAL	P	106.99	34	312		749		
105	11048	Busch, Michael	CHC	1B	107.00	54	152		749		
106	11300	Strider, Spencer	ATL	P	107.29	54	201		749		
107	8805	Suarez, Eugenio	CIN	3B	108.76	40	177		749		
108	11559	Diaz, Yainer	HOU	C	110.91	61	156		749		
109	8116	Altuve, Jose	HOU	OF, 2B	112.25	46	153		749		
110	9415	Bregman, Alex	CHC	3B	114.98	39	176		749		
111	7903	Yelich, Christian	MLW	UT	122.17	44	196		749		
112	9958	Robert Jr., Luis	NYM	OF	122.18	61	171		749		
113	8427	Gausman, Kevin	TOR	P	122.31	81	176		749		
114	12193	Burns, Chase	CIN	P	123.07	75	246		749		
115	8971	Adames, Willy	SF	SS	124.51	77	192		749		
116	9678	Woodruff, Brandon	MLW	P	124.67	42	219		749		
117	8975	Hoffman, Jeff	TOR	P	125.16	47	305		749		
118	8700	Glasnow, Tyler	LAD	P	125.22	65	248		749		
119	10241	Adell, Jo	LAA	OF	126.13	73	201		749		
120	11414	Stowers, Kyle	MIA	OF	126.61	71	180		749		
121	9428	Hernandez, Teoscar	LAD	OF	128.35	53	175		749		
122	11682	Pages, Andy	LAD	OF	130.56	74	186		749		
123	10634	Fairbanks, Pete	MIA	P	130.92	66	320		749		
124	9639	Diaz, Yandy	TB	1B	131.36	60	195		749		
125	8546	Gray, Sonny	BOS	P	131.99	79	207		749		
126	9652	Pagan, Emilio	CIN	P	133.58	46	344		749		
127	11628	Rafaela, Ceddanne	BOS	2B, OF	133.93	61	237		749		
128	10804	Megill, Trevor	MLW	P	134.10	49	354		749		
129	10419	Marte, Noelvi	CIN	OF, 3B	134.39	69	195		749		
130	11894	Misiorowski, Jacob	MLW	P	134.45	75	249		749		
131	12228	Keaschall, Luke	MIN	2B	136.48	75	197		749		
132	10964	Lodolo, Nick	CIN	P	137.03	91	234		749		
133	12361	Schlittler, Cam	NYY	P	138.78	50	257		749		
134	7931	Jansen, Kenley	DET	P	139.65	61	352		749		
135	10289	King, Michael	SD	P	140.55	77	245		749		
136	11811	Sheehan, Emmet	LAD	P	141.17	91	263		749		
137	8955	Nimmo, Brandon	TEX	OF	141.45	77	195		749		
138	11821	Palencia, Daniel	CHC	P	141.61	73	334		749		
139	9432	Swanson, Dansby	CHC	SS	143.34	92	195		749		
140	11059	Pepiot, Ryan	TB	P	144.20	85	232		749		
141	11939	Marsee, Jakob	MIA	OF	145.24	50	211		749		
142	8235	Wheeler, Zack	PHI	P	145.60	34	344		749		
143	11649	Butler, Lawrence	ATH	OF	145.95	83	204		749		
144	11751	Holliday, Jackson	BAL	2B	146.80	75	273		749		
145	11610	Westburg, Jordan	BAL	3B	148.03	71	507		740		
146	10704	Rutschman, Adley	BAL	C	150.18	66	217		749		
147	10076	Ward, Taylor	BAL	OF	153.57	85	201		749		
148	10851	Kirk, Alejandro	TOR	C	154.44	81	229		749		
149	11590	Williams, Gavin	CLE	P	154.54	84	259		749		
150	9754	Alcantara, Sandy	MIA	P	157.30	97	219		749		
151	8775	Ray, Robbie	SF	P	159.52	78	248		749		
152	12463	Yesavage, Trey	TOR	P	159.65	103	262		749		
153	8130	Eovaldi, Nathan	TEX	P	159.89	56	259		749		
154	10807	Rasmussen, Drew	TB	P	160.95	104	261		749		
155	9721	Albies, Ozzie	ATL	2B	161.49	82	224		749		
156	11653	Doyle, Brenton	COL	OF	161.61	89	227		749		
157	12212	Simpson, Chandler	TB	OF	162.39	79	276		749		
158	11315	Kwan, Steven	CLE	OF	162.64	87	210		749		
159	9683	Chapman, Matt	SF	3B	163.78	93	239		749		
160	12035	Chandler, Bubba	PIT	P	163.79	91	268		749		
161	9917	Santana, Dennis	PIT	P	164.69	57	373		749		
162	11922	Crews, Dylan	WAS	OF	164.70	85	227		749		
163	10220	Herrera, Ivan	STL	UT	164.85	74	290		749		
164	9506	Castillo, Luis	SEA	P	167.51	103	256		749		
165	12039	Basallo, Samuel	BAL	C	170.46	98	234		749		
166	10351	Rogers, Trevor	BAL	P	170.48	26	264		749		
167	11664	Uribe, Abner	MLW	P	170.61	76	398		749		
168	12127	Wilson, Jacob	ATH	SS	170.91	93	250		749		
169	10068	Lowe, Brandon	PIT	2B	172.04	76	238		749		
170	11117	Moreno, Gabriel	ARZ	C	173.37	101	242		749		
171	11884	Imanaga, Shota	CHC	P	174.74	75	261		749		
172	11118	Alvarez, Francisco	NYM	C	174.97	94	233		749		
173	12471	Imai, Tatsuya	HOU	P	175.23	77	389		749		
174	10365	Edwards, Xavier	MIA	2B, SS	175.34	104	257		749		
175	9655	Happ, Ian	CHC	OF	176.06	109	248		749		
176	11421	Burleson, Alec	STL	1B, OF	178.61	99	289		749		
177	11407	Suarez, Robert	ATL	P	178.99	37	419		746		
178	11901	Teel, Kyle	CWS	C	180.33	106	241		749		
179	8228	Profar, Jurickson	ATL	OF	181.13	87	240		749		
180	11394	Aranda, Jonathan	TB	1B	182.66	90	254		749		
181	9840	Suarez, Ranger	BOS	P	183.93	92	257		749		
182	11086	Stott, Bryson	PHI	2B	184.04	122	254		749		
183	9263	Contreras, Willson	BOS	1B	184.48	98	280		749		
184	10831	Torkelson, Spencer	DET	1B	184.82	112	245		749		
185	12096	Schwellenbach, Spencer	ATL	P	184.96	55	680		682		
186	7689	Trout, Mike	LAA	OF	186.13	37	266		749		
187	11595	Bibee, Tanner	CLE	P	187.95	104	260		749		
188	10319	Lewis, Royce	MIN	3B	188.14	110	260		749		
189	8924	Walker, Christian	HOU	1B	189.74	110	259		749		
190	11596	Barger, Addison	TOR	3B, OF	191.39	113	296		749		
191	10038	Bieber, Shane	TOR	P	194.29	91	425		747		
192	10153	Reynolds, Bryan	PIT	OF	195.52	125	258		749		
193	12456	Jensen, Carter	KC	C	195.98	103	306		749		
194	11794	Walker, Ryan	SF	P	196.00	92	413		749		
195	11886	Horton, Cade	CHC	P	197.43	109	297		749		
196	10721	Cabrera, Edward	CHC	P	197.93	137	297		749		
197	9973	Gore, MacKenzie	TEX	P	198.26	119	280		749		
198	11581	Frelick, Sal	MLW	OF	199.34	106	306		749		
199	8942	Rodon, Carlos	NYY	P	199.89	49	379		749		
200	10180	Varsho, Daulton	TOR	OF	200.31	114	266		749		
201	10218	Paredes, Isaac	HOU	3B	200.75	83	299		749		
202	11346	Tovar, Ezequiel	COL	SS	201.19	108	301		749		
203	10331	Baz, Shane	BAL	P	204.81	152	289		749		
204	12364	Lile, Daylen	WAS	OF	205.80	124	316		749		
205	8800	Realmuto, J.T.	PHI	C	205.88	135	272		749		
206	12453	Stewart, Sal	CIN	1B	206.40	129	300		749		
207	11613	McLain, Matt	CIN	2B	208.45	55	292		749		
208	12351	Murakami, Munetaka	CWS	3B	213.31	86	343		748		
209	8961	Nola, Aaron	PHI	P	213.43	124	277		749		
210	10213	Ramos, Heliot	SF	OF	213.90	139	285		749		
211	12211	Caglianone, Jac	KC	OF	215.69	99	300		749		
212	10422	Lopez, Otto	MIA	SS, 2B	215.86	130	305		749		
213	11786	Caballero, Jose	NYY	OF, 2B, 3B, SS	216.34	126	332		749		
214	12469	Griffin, Konnor	PIT	SS	216.77	84	376		736		
215	11892	Montgomery, Colson	CWS	SS	217.78	37	309		749		
216	9919	Laureano, Ramon	SD	OF	218.67	99	329		749		
217	10933	Bubic, Kris	KC	P	218.72	124	305		748		
218	10920	Dingler, Dillon	DET	C	219.34	127	351		749		
219	8832	Polanco, Jorge	NYM	2B	220.91	114	319		749		
220	11530	Carpenter, Kerry	DET	OF	222.14	145	286		749		
221	11802	Abbott, Andrew	CIN	P	222.30	128	295		749		
222	11218	Jax, Griffin	TB	P	224.77	115	441		747		
223	9750	Flaherty, Jack	DET	P	225.92	126	295		749		
224	9944	Gallen, Zac	ARZ	P	226.35	114	286		749		
225	9876	Lopez, Pablo	MIN	P	226.63	85	462		645		
226	11599	Wells, Austin	NYY	C	227.07	118	351		748		
227	12084	Beck, Jordan	COL	OF	227.93	171	314		749		
228	8417	Bogaerts, Xander	SD	SS	228.21	152	307		749		
229	11709	Abreu, Wilyer	BOS	OF	228.46	164	307		749		
230	10279	Garcia Jr., Luis	WAS	2B	229.90	141	299		749		
231	11749	Dominguez, Jasson	NYY	OF	232.65	121	436		745		
232	9087	Boyd, Matthew	CHC	P	233.23	75	297		749		
233	11940	Sasaki, Roki	LAD	P	234.47	71	376		748		
234	9964	Garcia, Adolis	PHI	OF	235.51	117	328		749		
235	11600	Manzardo, Kyle	CLE	1B	236.44	151	319		748		
236	10506	Kelly, Merrill	ARZ	P	238.93	155	356		749		
237	9778	Torres, Gleyber	DET	2B	239.19	129	312		748		
238	12204	Durbin, Caleb	BOS	3B	240.74	150	325		749		
239	11075	O'Hoppe, Logan	LAA	C	241.68	157	320		748		
240	11921	Shaw, Matt	CHC	3B	241.70	131	390		748		
241	10332	McClanahan, Shane	TB	P	243.53	156	376		747		
242	9784	Moniak, Mickey	COL	OF	244.14	132	304		749		
243	8602	Semien, Marcus	NYM	2B	244.68	149	361		749		
244	10358	Stephenson, Tyler	CIN	C	246.83	158	360		748		
245	11636	Miller, Bryce	SEA	P	247.04	133	366		749		
246	12459	Early, Connelly	BOS	P	247.19	143	413		749		
247	10658	Grisham, Trent	NYY	OF	248.15	150	354		749		
248	9248	Musgrove, Joe	SD	P	249.38	173	358		749		
249	8691	Muncy, Max	LAD	3B	250.28	134	337		748		
250	7789	Stanton, Giancarlo	NYY	OF	251.68	133	330		749		
251	11609	Cowser, Colton	BAL	OF	251.99	181	333		749		
252	11327	Leiter, Jack	TEX	P	253.71	184	338		747		
253	10125	Bohm, Alec	PHI	3B	256.52	103	359		749		
254	11556	Steer, Spencer	CIN	1B	259.34	143	356		745		
255	10946	Jeffers, Ryan	MIN	C	259.80	142	405		744		
256	10344	Friedl, TJ	CIN	OF	262.88	184	316		749		
257	8656	Correa, Carlos	HOU	3B, SS	264.46	160	346		748		
258	11326	Nelson, Ryne	ARZ	P	266.45	162	356		749		
259	10254	Lowe, Josh	LAA	OF	267.25	206	398		747		
260	12201	Cameron, Noah	KC	P	267.41	167	350		748		
261	10481	Arraez, Luis	SF	1B	268.03	85	409		747		
262	11123	Baty, Brett	NYM	2B, 3B	268.48	166	382		746		
263	10381	Abreu, Bryan	HOU	P	268.67	111	470		738		
264	12490	Okamoto, Kazuma	TOR	3B	270.91	74	590		722		
265	10899	Winn, Masyn	STL	SS	272.31	169	346		747		
266	10159	Mize, Casey	DET	P	273.70	178	380		748		
267	10224	Burger, Jake	TEX	1B	274.15	183	366		743		
268	12305	Smith, Shane	CWS	P	277.47	158	397		743		
269	12302	Wetherholt, JJ	STL	SS	281.01	164	391		716		
270	9824	O'Hearn, Ryan	PIT	1B, OF	281.68	140	412		742		
271	11131	Priester, Quinn	MLW	P	284.47	195	356		744		
272	11357	Donovan, Brendan	SEA	2B	285.85	155	361		736		
273	8231	Cole, Gerrit	NYY	P	287.21	126	499		728		
274	10417	Vargas, Miguel	CWS	1B, 3B	290.77	191	392		738		
275	11903	Lee, Jung Hoo	SF	OF	291.37	204	367		740		
276	11162	O'Brien, Riley	STL	P	292.97	172	514		732		
277	10925	Clement, Ernie	TOR	2B, 3B, SS	296.83	174	395		731		
278	11060	Uceta, Edwin	TB	P	297.03	155	573		724		
279	10401	Cantillo, Joey	CLE	P	299.26	220	400		732		
280	11501	Sosa, Lenyn	CWS	1B, 2B	299.54	111	439		720		
281	9599	Santander, Anthony	TOR	OF	300.29	99	746		678		
282	10282	Vientos, Mark	NYM	3B	301.99	118	410		726		
283	10788	Vaughn, Andrew	MLW	1B	302.14	207	381		729		
284	12238	Henderson, Logan	MLW	P	310.71	151	489		719		
285	12470	McGonigle, Kevin	DET	SS	311.13	168	474		715		
286	12012	Narvaez, Carlos	BOS	C	314.31	200	393		715		
287	11753	Carter, Evan	TEX	OF	317.64	153	390		713		
288	11182	Senga, Kodai	NYM	P	317.88	186	378		707		
289	10207	Rodriguez, Grayson	LAA	P	320.56	199	412		710		
290	10072	Mullins, Cedric	TB	OF	325.46	220	399		718		
291	11887	Waldrep, Hurston	ATL	P	328.34	153	738		674		
292	11825	Keith, Colt	DET	2B, 3B	328.35	186	370		701		
293	12303	Crawford, Justin	PHI	OF	328.52	215	550		703		
294	11159	Ober, Bailey	MIN	P	329.15	195	408		699		
295	11919	DeLauter, Chase	CLE	OF	330.14	226	491		717		
296	8666	Manaea, Sean	NYM	P	331.41	225	448		696		
297	12226	Beavers, Dylan	BAL	OF	332.73	226	413		711		
298	10133	Gimenez, Andres	TOR	2B	334.57	212	428		701		
299	11186	Vest, Will	DET	P	335.36	94	582		677		
300	12430	Melton, Troy	DET	P	336.68	195	626		690		
301	11823	Garcia, Robert	TEX	P	338.90	29	639		693		
302	12148	Matthews, Zebby	MIN	P	338.99	172	421		699		
303	11576	Wallner, Matt	MIN	OF	340.75	204	446		702		
304	12215	Messick, Parker	CLE	P	341.31	203	449		697		
305	11999	Ashcraft, Braxton	PIT	P	341.47	173	430		674		
306	11844	Schanuel, Nolan	LAA	1B	343.67	190	445		692		
307	7886	Taillon, Jameson	CHC	P	343.89	188	397		702		
308	10325	Weathers, Ryan	NYY	P	345.49	198	415		660		
309	8478	Ozuna, Marcell	PIT	UT	349.64	154	470		699		
310	10145	Singer, Brady	CIN	P	349.66	230	401		691		
311	10569	Edman, Tommy	LAD	2B, OF	351.16	210	484		679		
312	11362	Bello, Brayan	BOS	P	352.59	212	406		694		
313	9452	Kelly, Carson	CHC	C	355.17	195	408		678		
314	9710	Bader, Harrison	SF	OF	356.92	223	531		686		
315	10774	Ponce, Cody	TOR	P	358.57	193	646		671		
316	11947	Scott II, Victor	STL	OF	359.15	221	527		695		
317	12191	Quero, Edgar	CWS	C	360.15	99	462		680		
318	10980	Jung, Josh	TEX	3B	360.81	195	472		673		
319	11420	Seymour, Ian	TB	P	362.42	199	546		679		
320	11898	Warren, Will	NYY	P	363.13	242	448		689		
321	10143	Naylor, Bo	CLE	C	370.01	225	469		669		
322	10792	Finnegan, Kyle	DET	P	372.13	106	583		666		
323	11619	Burrows, Mike	HOU	P	372.90	172	599		651		
324	11740	Lee, Brooks	MIN	2B, 3B, SS	376.96	216	393		637		
325	12331	Smith, Cam	HOU	OF	377.16	230	479		668		
326	9993	McKinstry, Zach	DET	3B, SS, OF	383.45	198	393		638		
327	12028	Leasure, Jordan	CWS	P	387.57	134	613		649		
328	11147	Kim, Ha-Seong	ATL	SS	389.31	180	583		636		
329	11439	Lawlar, Jordan	ARZ	3B	392.57	205	505		648		
330	12359	Taylor, Grant	CWS	P	395.13	212	584		641		
331	10236	Sanchez, Jesus	TOR	OF	396.99	243	491		639		
332	9856	Castro, Willi	COL	2B, 3B, OF	397.52	135	499		603		
333	9765	Robles, Victor	SEA	OF	398.08	179	469		641		
334	10885	Walker, Jordan	STL	OF	399.15	243	558		654		
335	11187	Soriano, Jose	LAA	P	400.43	233	465		632		
336	8221	Castellanos, Nick	SD	OF	402.31	196	537		645		
337	9555	Holmes, Clay	NYM	P	402.47	236	408		630		
338	11585	Painter, Andrew	PHI	P	404.98	211	472		628		
339	11778	Canzone, Dominic	SEA	OF	405.50	258	516		626		
340	10915	Detmers, Reid	LAA	P	408.78	246	504		636		
341	11907	Snelling, Robby	MIA	P	409.26	70	550		615		
342	12259	Patrick, Chad	MLW	P	411.29	267	519		624		
343	12227	Meidroth, Chase	CWS	2B, SS	413.21	233	481		604		
344	9312	Lugo, Seth	KC	P	413.40	248	443		629		
345	11594	Olson, Reese	DET	P	415.28	206	749		588		
346	10438	Kikuchi, Yusei	LAA	P	416.69	227	486		619		
347	11441	Smith, Josh	TEX	1B, 3B, SS	423.10	222	417		582		
348	11325	Volpe, Anthony	NYY	SS	423.12	217	483		594		
349	9742	Mahle, Tyler	SF	P	424.75	201	551		607		
350	9799	Keller, Mitch	PIT	P	426.63	244	453		600		
351	12179	Collins, Isaac	KC	OF	430.19	258	496		606		
352	10335	Woods Richardson, Simeon	MIN	P	431.04	282	532		611		
353	12344	Tong, Jonah	NYM	P	431.66	178	544		590		
354	10760	Gil, Luis	NYY	P	433.29	237	477		607		
355	12480	Benge, Carson	NYM	OF	433.93	242	604		607		
356	11553	Estrada, Jeremiah	SD	P	441.61	217	592		613		
357	9410	Lopez, Reynaldo	ATL	P	441.92	231	624		603		
358	10181	Peterson, David	NYM	P	442.23	247	495		592		
359	10971	Cavalli, Cade	WAS	P	442.54	235	521		592		
360	8426	Wacha, Michael	KC	P	443.85	220	454		580		
361	9838	Dominguez, Seranthony	CWS	P	445.01	88	748		544		
362	9772	Scott, Tanner	LAD	P	448.04	143	615		577		
363	11861	Vodnik, Victor	COL	P	448.32	155	573		597		
364	11603	Norby, Connor	MIA	3B	448.87	261	521		580		
365	8879	Bassitt, Chris	BAL	P	450.34	225	510		582		
366	10146	Marsh, Brandon	PHI	OF	450.67	212	490		567		
367	10327	Murphy, Sean	ATL	C	450.74	222	533		602		
368	12067	Mangum, Jake	PIT	OF	451.81	208	575		578		
369	10061	McNeil, Jeff	ATH	2B, OF	452.52	230	594		564		
370	8962	Bell, Josh	MIN	1B	454.01	246	552		558		
371	11434	Horwitz, Spencer	PIT	1B	456.93	252	456		561		
372	11841	Lopez, Jacob	ATH	P	457.68	243	503		573		
373	10204	Sheets, Gavin	SD	OF	460.92	270	467		559		
374	12202	Eldridge, Bryce	SF	UT	461.71	200	511		558		
375	10248	India, Jonathan	KC	OF, 3B, 2B	462.76	202	534		547		
376	11934	Mayer, Marcelo	BOS	3B	463.80	172	481		544		
377	10717	Javier, Cristian	HOU	P	466.01	263	517		578		
378	11106	Beeter, Clayton	WAS	P	469.68	187	726		572		
379	10477	Steele, Justin	CHC	P	470.49	185	504		553		
380	9763	Hays, Austin	CWS	OF	470.71	161	521		552		
381	8724	Giolito, Lucas	BOS	P	472.53	220	523		553		
382	8650	Stephenson, Robert	LAA	P	475.15	191	700		561		
383	8808	Yates, Kirby	LAA	P	475.27	129	708		560		
384	12217	Ballesteros, Moises	CHC	UT	476.92	222	522		536		
385	11514	Fermin, Freddy	SD	C	477.79	265	587		567		
386	12050	Caissie, Owen	MIA	OF	486.29	237	560		545		
387	8694	Crawford, J.P.	SEA	SS	486.57	152	480		525		
388	11586	Pfaadt, Brandon	ARZ	P	486.76	247	527		531		
389	11225	Nootbaar, Lars	STL	OF	487.13	263	533		537		
390	8223	Arenado, Nolan	ARZ	3B	487.40	237	529		540		
391	9789	O'Neill, Tyler	BAL	OF	489.94	282	507		538		
392	10263	Ruiz, Keibert	WAS	C	491.68	235	508		531		
393	10832	Meyer, Max	MIA	P	491.88	263	571		549		
394	11342	Clemens, Kody	MIN	OF, 2B, 1B	492.34	275	544		526		
395	11937	Ford, Harry	WAS	C	494.28	260	600		551		
396	12452	Tolle, Payton	BOS	P	494.99	202	565		515		
397	9262	Caratini, Victor	MIN	C	495.36	223	601		533		
398	8331	Soler, Jorge	LAA	OF	498.62	290	543		528		
399	10350	Larnach, Trevor	MIN	OF	500.49	279	512		525		
400	10528	Romero, JoJo	STL	P	504.68	230	624		538		
401	10347	Santillan, Tony	CIN	P	505.34	181	637		535		
402	10766	Cronenworth, Jake	SD	2B	505.49	223	539		515		
403	9609	Rengifo, Luis	MLW	2B, 3B	506.41	265	557		525		
404	9726	McMahon, Ryan	NYY	3B	506.80	268	504		517		
405	9417	Benintendi, Andrew	CWS	OF	508.53	257	519		518		
406	11588	Bradley, Taj	MIN	P	509.04	264	568		533		
407	10355	Casas, Triston	BOS	1B	509.60	213	623		518		
408	11102	Bailey, Patrick	SF	C	511.16	277	551		529		
409	12434	Morales, Luis	ATH	P	512.67	228	556		516		
410	11668	Triolo, Jared	PIT	1B, 3B, SS	514.21	297	558		506		
411	12020	Arrighetti, Spencer	HOU	P	514.48	254	664		538		
412	11276	Gonzalez, Romy	BOS	1B, 2B	517.53	256	602		506		
413	9379	Eflin, Zach	BAL	P	518.13	277	575		526		
414	10067	Springs, Jeffrey	ATH	P	518.18	245	572		512		
415	10303	Gorman, Nolan	STL	3B, 2B	519.25	270	601		518		
416	11625	Ortiz, Joey	MLW	SS	521.32	272	556		504		
417	10307	Meadows, Parker	DET	OF	521.73	269	514		497		
418	11190	Whitlock, Garrett	BOS	P	522.08	278	591		534		
419	11836	Cecconi, Slade	CLE	P	524.24	297	565		512		
420	12195	Campbell, Kristian	BOS	2B	524.26	196	584		502		
421	10290	Amaya, Miguel	CHC	C	524.57	280	615		520		
422	9860	Littell, Zack	CIN	P	524.85	255	597		509		
423	10626	Yastrzemski, Mike	ATL	OF	525.35	260	566		511		
424	10769	Cleavinger, Garrett	TB	P	525.74	244	718		529		
425	11893	Jones, Jared	PIT	P	525.85	274	584		490		
426	11889	Mayo, Coby	BAL	1B	525.97	210	604		518		
427	10434	Perez, Wenceel	DET	OF	527.45	253	539		503		
428	12190	Rushing, Dalton	LAD	C	527.58	221	574		502		
429	9791	Soroka, Michael	ARZ	P	527.64	302	586		501		
