Rank,Player,Trend,Avg Pos,Hi/Lo,Pct
398,Chad Patrick P  MIL,-2,353.75,240/440,44.4
399,Josue Briceno C  DET,-17,355,335/375,22.2
400,C.J. Kayfus 1B  CLE,-17,356.5,309/404,22.2
401,Jarlin Susana SP  WAS,-15,359.5,345/374,22.2
402,Masyn Winn SS  STL,22,360.33,276/473,33.3
403,Cristian Javier SP  HOU,19,362.67,291/438,33.3
404,Dax Kilby SS  NYY,-15,363.5,327/400,22.2
405,Jake Cronenworth 1B  SD,7,363.6,148/575,55.6
406,Brody Hopkins SP  TB,-9,365.67,341/406,33.3
407,Camilo Doval RP  NYY,-17,366.33,153/649,33.3
408,Nick Martinez RP  TB,71,366.83,152/781,66.7
409,Hagen Smith SP  CHW,-18,367,328/406,22.2
410,Andrew Fischer 3B  MIL,-18,367,354/380,22.2
411,Sean Manaea RP  NYM,88,367.25,233/486,44.4
412,Cedric Mullins CF  TB,-19,368,169/512,33.3
413,Brandon Sproat SP  MIL,-13,372.33,317/435,33.3
414,Grant Holmes RP  ATL,47,372.8,237/578,55.6
415,Kyle Leahy RP  STL,230,373.2,98/640,55.6
416,Cade Cavalli SP  WAS,-2,374.33,334/448,33.3
417,Clay Holmes RP  NYM,18,376.5,149/593,44.4
418,Max Meyer SP  MIA,9,378,325/457,33.3
419,Felix Bautista RP  BAL,-15,379.33,155/550,33.3
420,Aiva Arquette SS  MIA,-14,379.5,376/383,22.2
421,JoJo Parker SS  TOR,-16,379.5,318/441,22.2
422,Jose Berrios SP  TOR,19,379.75,65/736,44.4
423,Willi Castro LF  COL,-15,380,205/535,33.3
424,Jaxon Wiggins P  CHC,-17,380,348/412,22.2
425,Jeff McNeil 2B  ATH,30,385,185/560,55.6
426,Dustin May SP  STL,20,386,314/513,33.3
427,Slade Cecconi SP  CLE,18,387,320/453,33.3
428,Carson Whisenhunt P  SF,105,388,253/523,22.2
429,Steven Matz SP  TB,164,389,233/561,33.3
430,Robert Garcia RP  TEX,53,389.67,222/483,33.3
431,Carson Williams SS  TB,-10,389.67,361/436,33.3
432,Jacob Melton LF  TB,-19,390.5,286/495,22.2
433,Edwin Uceta RP  TB,-18,395,393/397,22.2
434,Nolan Gorman 2B  STL,59,395.33,220/496,33.3
435,Trey Gibson SP  BAL,-19,396.5,385/408,22.2
436,Kyle Higashioka C  TEX,125,396.5,255/538,22.2
437,Joe Boyle SP  TB,-20,396.67,216/518,33.3
438,Mike Sirota SS  LAD,-20,397,391/403,22.2
439,Josh H. Smith SS  TEX,19,397,321/474,33.3
440,Kruz Schoolcraft SP  SD,-21,398,350/446,22.2
441,Justin Sterner RP  ATH,34,398,292/481,44.4
442,Brooks Lee SS  MIN,-22,398.5,373/424,22.2
443,Mike Soroka SP  ARI,-17,402,358/450,33.3
444,Miguel Amaya C  CHC,81,403.67,186/539,33.3
445,Kutter Crawford SP  BOS,6,405.33,172/686,33.3
446,Brooks Baldwin SS  CHW,-18,405.5,381/430,22.2
447,Jose Caballero 2B  NYY,-7,408,315/524,33.3
448,Logan O'Hoppe C  LAA,-4,409.33,356/484,33.3
449,Jonathan India 2B  KC,-13,412.25,144/645,44.4
450,Emmanuel Rodriguez CF  MIN,-16,413.5,367/460,22.2
451,Alex Freeland SS  LAD,-18,413.5,362/465,22.2
452,Matt Wallner LF  MIN,-15,417,380/454,22.2
453,Connor Norby 2B  MIA,-14,419,384/454,22.2
454,Gage Wood SP  PHI,-16,419,343/495,22.2
455,JR Ritchie SP  ATL,-13,420,387/453,22.2
456,Tyler Rogers RP  TOR,38,420.67,295/533,33.3
457,Simeon Woods Richardson RP  MIN,3,421,386/464,33.3
458,Jordan Beck OF  COL,-11,422,340/504,22.2
459,Johan Oviedo SP  BOS,25,423,318/525,33.3
460,Taj Bradley SP  MIN,46,423,288/604,33.3
461,Jeremiah Estrada RP  SD,92,423.67,203/702,33.3
462,Luke Weaver SP  NYM,48,424.33,289/494,33.3
463,Kendry Chourio SP  KC,-15,424.5,398/451,22.2
464,Grant Taylor RP  CHW,7,425.67,371/489,33.3
465,Caden Scarborough SP  TEX,-15,426.5,416/437,22.2
466,JoJo Romero RP  STL,183,427.25,224/660,44.4
