RK,WSID,Player Name,POS,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
89,,Nolan McLean (NYM),"SP,DH1",83,127,100.3,17.9,-
90,,Willy Adames (SF),SS12,85,118,100.8,12.2,-
91,,Zack Wheeler (PHI),SP31,56,164,102,44.1,-
92,,Oneil Cruz (PIT),SS13,72,142,102.3,27.2,-
93,,Teoscar Hernandez (LAD),OF24,86,121,102.3,15.9,-
94,,Brandon Nimmo (TEX),OF25,52,155,105,43.9,-
95,,Sandy Alcantara (MIA),SP32,80,160,106.8,31.2,-
96,,Jose Altuve (HOU),2B4,79,132,107.3,19.1,-
97,,Shane Bieber (TOR),SP33,93,127,108.8,13.5,-
98,,Luis Castillo (SEA),SP34,88,147,109.3,23,-
99,,Nathan Eovaldi (TEX),SP35,70,170,111.8,42.2,-
100,,Michael Busch (CHC),1B10,103,118,112.3,6.3,-
101,,Ben Rice (NYY),1B11,69,158,112.5,41.2,-
102,,Shea Langeliers (ATH),C3,56,149,113,36.7,-
103,,Robbie Ray (SF),SP36,106,130,115,9.7,-
104,,Nico Hoerner (CHC),SS14,90,136,115.5,17.6,-
105,,Michael Harris II (ATL),OF26,96,144,119,20.4,-
106,,Salvador Perez (KC),C4,105,130,120.8,9.5,-
107,,Michael King (FA),SP37,97,154,121.3,24.2,-
108,,Matt Chapman (SF),3B8,100,168,122,26.9,-
109,,Brandon Woodruff (MIL),SP38,99,143,122.5,15.7,-
110,,Ian Happ (CHC),OF27,61,179,122.8,54.5,-
111,,Ranger Suarez (FA),SP39,91,183,123.5,36.6,-
112,,Jurickson Profar (ATL),OF28,78,184,125.5,46.4,-
113,,Trevor Rogers (BAL),SP40,88,157,125.8,24.6,-
114,,Will Smith (LAD),C5,103,158,125.8,20,-
115,,Taylor Ward (BAL),OF29,81,163,126.8,30.5,-
116,,Hunter Goodman (COL),C6,68,176,127,42.4,-
117,,Trey Yesavage (TOR),SP41,97,170,127,29.7,-
118,,Tyler Soderstrom (ATH),1B12,95,163,129,34,-
119,,Jordan Westburg (BAL),2B5,121,138,129,8,-
120,,Gavin Williams (CLE),SP42,113,145,130.5,11.6,-
121,,Tanner Bibee (CLE),SP43,105,173,130.8,27.7,-
122,,Ozzie Albies (ATL),2B6,90,166,131.3,28.5,-
123,,Steven Kwan (CLE),OF30,108,165,131.5,24.5,-
124,,MacKenzie Gore (WSH),SP44,73,218,132.5,56.6,-
125,,Drake Baldwin (ATL),C7,93,175,133.5,29.5,-
126,,Kyle Stowers (MIA),OF31,110,164,138.5,25.6,-
127,,Nick Lodolo (CIN),SP45,106,188,139.3,30.5,-
128,,Cam Schlittler (NYY),SP46,94,238,141.5,56.5,-
129,,Ryan Pepiot (TB),SP47,113,156,143.5,17.8,-
130,,Jacob Wilson (ATH),SS15,117,162,144.3,16.7,-
131,,Jackson Holliday (BAL),2B7,86,183,145,36.3,-
132,,Mark Vientos (NYM),3B9,82,264,145.8,71.1,-
133,,Andy Pages (LAD),OF32,101,174,145.8,30.6,-
134,,Adley Rutschman (BAL),C8,130,156,147,10.3,-
135,,Carlos Rodon (NYY),SP48,127,172,147.8,16.8,-
136,,Bryan Reynolds (PIT),OF33,103,192,150.5,36.4,-
137,,Spencer Torkelson (DET),1B13,138,188,151.3,21.3,-
138,,Jo Adell (LAA),OF34,132,166,151.5,14.9,-
139,,Gleyber Torres (DET),2B8,63,243,152.3,70.1,-
140,,Matthew Boyd (CHC),SP49,105,221,153,44.1,-
141,,Shota Imanaga (CHC),SP50,118,172,153.8,22.1,-
142,,Christian Yelich (MIL),OF35,119,180,153.8,26.9,-
143,,Christian Walker (HOU),1B14,144,182,154,16.2,-
144,,Luke Keaschall (MIN),2B9,113,187,155,32.8,-
145,,Drew Rasmussen (TB),"SP,RP1",114,215,155.5,36.9,-
146,,Chase Burns (CIN),"SP,RP2",113,191,156.3,28.1,-
147,,Andres Munoz (SEA),RP1,28,213,109.3,77.2,-
148,,Jakob Marsee (MIA),OF36,146,167,157.3,9.8,-
149,,Bubba Chandler (PIT),SP51,109,206,157.5,34.4,-
150,,Lawrence Butler (ATH),OF37,112,190,158,33.5,-
151,,Mason Miller (SD),RP2,34,213,112.3,74.8,-
152,,Jack Flaherty (DET),SP52,102,214,160,42.9,-
153,,Jacob Misiorowski (MIL),"SP,RP3",123,196,160.3,29.8,-
154,,Zac Gallen (FA),SP53,97,223,161,44.6,-
155,,Luis Robert Jr. (CWS),OF38,115,207,166.5,41.2,-
156,,Emmet Sheehan (LAD),SP54,128,202,167.3,32.7,-
157,,Aaron Nola (PHI),SP55,123,215,168.8,32.5,-
158,,Marcus Semien (NYM),2B10,119,273,169.5,62.9,-
159,,Ivan Herrera (STL),C9,148,211,170,25.1,-
160,,Alec Burleson (STL),OF39,147,208,171.5,24.9,-
161,,Trevor Story (BOS),SS16,98,300,172,81.7,-
162,,Noelvi Marte (CIN),3B10,128,243,172.8,47.9,-
163,,Xavier Edwards (MIA),SS17,146,199,172.8,19.4,-
164,,David Peterson (NYM),SP56,96,398,197.8,119,-
165,,Spencer Steer (CIN),1B15,128,233,173.5,43.9,-
166,,Jonathan Aranda (TB),1B16,164,183,175,6.9,-
167,,Brandon Lowe (TB),2B11,157,185,176,11.4,-
168,,Ezequiel Tovar (COL),SS18,120,222,177.3,39.6,-
169,,Merrill Kelly (FA),SP57,125,226,178,36.4,-
170,,Jhoan Duran (PHI),RP3,35,276,178.5,101.4,-
171,,Ceddanne Rafaela (BOS),OF40,130,244,180.3,42.3,-
172,,Anthony Santander (TOR),OF41,137,229,180.5,40.5,-
173,,Masyn Winn (STL),SS19,117,276,182.3,59,-
174,,Agustin Ramirez (MIA),C10,71,226,143.3,63.7,-
175,,Colson Montgomery (CWS),SS20,159,199,182.8,16.1,-
176,,Addison Barger (TOR),3B11,150,254,184,41.8,-
177,,Edward Cabrera (MIA),SP58,162,211,184,19.3,-
178,,Cade Horton (CHC),SP59,140,270,184.8,50.7,-
179,,Heliot Ramos (SF),OF42,151,220,185,31.2,-
180,,Bryson Stott (PHI),2B12,134,217,185.8,31.1,-
181,,Jose Soriano (LAA),SP60,84,394,210.3,114.3,-
182,,Dylan Crews (WSH),OF43,169,199,189,11.7,-
183,,Yusei Kikuchi (LAA),SP61,89,393,212.8,112.4,-
184,,Connelly Early (BOS),SP62,165,221,192.8,20.2,-
185,,Alejandro Kirk (TOR),C11,159,227,193,24,-
186,,Andrew Abbott (CIN),SP63,133,266,193.3,47.7,-
187,,Edwin Diaz (FA),RP4,36,272,158.7,96.6,-
188,,Royce Lewis (MIN),3B12,184,206,194.8,8.7,-
189,,Cade Smith (CLE),RP5,42,276,163.7,95.8,-
190,,Luis Arraez (FA),2B13,121,286,199,67.8,-
191,,Dansby Swanson (CHC),SS21,143,204,166,27.1,-
192,,Brenton Doyle (COL),OF44,147,248,201.3,47,-
193,,Jasson Dominguez (NYY),OF45,178,223,205.5,18.9,-
194,,Alec Bohm (PHI),3B13,152,281,205.8,50.3,-
195,,Gerrit Cole (NYY),SP64,131,252,206,49.5,-
196,,Nolan Schanuel (LAA),1B17,116,303,206.8,90.8,-
197,,Mike Trout (LAA),OF46,149,241,207.5,37.9,-
198,,Mitch Keller (PIT),SP65,131,392,231.3,97.5,-
199,,Luis Garcia (WSH),2B14,201,228,211.8,9.9,-
200,,Xander Bogaerts (SD),SS22,159,237,212.3,31.4,-
201,,Shane Baz (TB),SP66,181,257,212.5,28.7,-
202,,David Bednar (NYY),RP6,55,194,124.5,69.5,-
203,,Aroldis Chapman (BOS),RP7,54,200,127,73,-
204,,TJ Friedl (CIN),OF47,184,263,214,32.9,-
205,,Yainer Diaz (HOU),C12,115,269,185.3,63.6,-
206,,Daulton Varsho (TOR),OF48,203,228,214.8,8.9,-
207,,Casey Mize (DET),SP67,171,257,215.8,30.5,-
208,,Shane McClanahan (TB),SP68,161,255,216,39.5,-
209,,Kyle Manzardo (CLE),1B18,197,230,216.3,12,-
210,,Daylen Lile (WSH),OF49,204,228,216.8,11.3,-
211,,Brendan Donovan (STL),2B15,124,322,223.8,70.1,-
212,,Josh Hader (HOU),RP8,64,209,136.5,72.5,-
213,,Colt Keith (DET),2B16,153,309,222,61.4,-
214,,Robert Suarez (FA),RP9,75,213,144,69,-
215,,Carlos Estevez (KC),RP10,79,210,144.5,65.5,-
216,,Isaac Paredes (HOU),3B14,171,245,197.3,33.8,-
217,,Wilyer Abreu (BOS),OF50,202,247,223.3,16,-
218,,Chandler Simpson (TB),OF51,132,160,146,14,-
219,,Roki Sasaki (LAD),SP69,119,175,147,28,-
220,,Quinn Priester (MIL),"SP,RP4",173,275,224.3,46.9,-
221,,Raisel Iglesias (ATL),RP11,80,216,148,68,-
222,,Nick Castellanos (PHI),OF52,179,282,224.5,46.3,-
223,,Brandon Pfaadt (ARI),SP70,133,421,256.8,103.9,-
224,,Brady Singer (CIN),SP71,168,319,231.3,57.1,-
225,,Clay Holmes (NYM),"SP,RP5",126,375,227.7,106.7,-
226,,Brett Baty (NYM),3B15,137,295,228.8,59.7,-
227,,Joe Musgrove (SD),SP72,160,269,228.8,41.3,-
228,,Marcell Ozuna (FA),OF53,175,300,229,54.9,-
229,,Sal Frelick (MIL),OF54,189,258,229,30,-
230,,Jeff Hoffman (TOR),RP12,94,223,158.5,64.5,-
231,,Trevor Megill (MIL),RP13,98,222,160,62,-
232,,Devin Williams (FA),RP14,97,226,161.5,64.5,-
233,,Matt McLain (CIN),2B17,171,247,209,31,-
234,,Jake Burger (TEX),3B16,178,288,232.3,39,-
235,,Chase DeLauter (CLE),OF55,192,307,234,47.4,-
236,,Kerry Carpenter (DET),OF56,200,264,233,31,-
237,,Kris Bubic (KC),"SP,RP6",201,269,233.3,25.2,-
238,,Gabriel Moreno (ARI),C13,181,278,233.8,37.6,-
239,,Jorge Polanco (FA),2B18,191,264,234.8,26.8,-
240,,Ryne Nelson (ARI),"SP,RP7",197,260,235.5,23.9,-
241,,Pete Fairbanks (FA),RP15,117,224,170.5,53.5,-
242,,Willson Contreras (STL),C14,189,251,215.7,26,-
243,,Brayan Bello (BOS),SP73,198,297,238.5,38.2,-
244,,Samuel Basallo (BAL),C15,167,187,177,10,-
245,,Kyle Teel (CWS),C16,185,244,218.3,24.7,-
246,,Andrew Vaughn (MIL),1B19,205,314,242.5,44.5,-
247,,Kenley Jansen (FA),RP16,126,232,179,53,-
248,,Jack Leiter (TEX),"SP,RP8",210,270,241.3,24.6,-
249,,Tommy Edman (LAD),SS23,142,295,222.3,62.7,-
250,,Carlos Correa (HOU),SS24,169,277,242.5,43.7,-
251,,Caleb Durbin (MIL),SS25,200,240,225.3,18,-
252,,Luis Severino (ATH),SP74,202,463,285.3,106.6,-
253,,Daniel Palencia (CHC),RP17,144,240,192,48,-
254,,Matt Shaw (CHC),SS26,186,289,246.5,38.2,-
255,,Dennis Santana (PIT),RP18,151,234,192.5,41.5,-
256,,Adolis Garcia (FA),OF57,232,276,247,18,-
257,,Sean Manaea (NYM),SP75,206,357,263.5,60.1,-
258,,Chase Meidroth (CWS),3B17,152,362,253.7,85.9,-
259,,Trent Grisham (NYY),OF58,233,279,250.8,19.2,-
260,,Reid Detmers (LAA),"SP,RP9",156,354,252,80.9,-
261,,Munetaka Murakami (FA),3B18,186,216,201,15,-
262,,Josh Bell (FA),1B20,201,453,285,118.8,-
263,,Chris Bassitt (FA),SP76,173,441,286.3,97.4,-
264,,Shane Smith (CWS),"SP,RP10",208,292,251.8,38.9,-
265,,Mickey Moniak (COL),OF59,238,265,251.8,13.3,-
266,,Noah Cameron (KC),SP77,229,287,252,21.7,-
267,,Anthony Volpe (NYY),SS27,204,305,253.3,36.2,-
268,,Francisco Alvarez (NYM),C17,191,278,253,35.9,-
269,,J.T. Realmuto (FA),C18,217,280,238.7,29.2,-
270,,Colton Cowser (BAL),OF60,254,256,255,0.7,-
271,,Michael Wacha (KC),SP78,212,347,267.8,52.5,-
272,,J.P. Crawford (SEA),SS28,186,355,260.3,70.5,-
273,,Andres Gimenez (TOR),2B19,206,296,243,38.4,-
274,,Bryce Miller (SEA),SP79,188,242,215,27,-
275,,Jeff McNeil (NYM),2B20,215,447,292.3,109.4,-
276,,Marcelo Mayer (BOS),SS29,178,351,261,70.8,-
277,,Jose Berrios (TOR),SP80,203,407,285.8,75.7,-
278,,Grayson Rodriguez (LAA) IL10,SP81,225,338,269.3,46.2,-
279,,Jung Hoo Lee (SF),OF61,235,293,260.3,25.8,-
280,,Jeffrey Springs (ATH),SP82,218,455,299.5,93.1,-
281,,Sal Stewart (CIN),3B19,231,279,248.7,21.6,-
282,,Reese Olson (DET),SP83,231,333,270.8,42.8,-
283,,Jac Caglianone (KC),1B21,238,285,263,22.1,-
284,,Will Vest (DET),RP19,190,262,226,36,-
285,,Emilio Pagan (FA),RP20,205,248,226.5,21.5,-
286,,Ryan Helsley (BAL),RP21,155,155,155,0,-
287,,Miguel Vargas (CWS),3B20,220,283,252.3,25.8,-
288,,Abner Uribe (MIL),RP22,195,263,229,34,-
289,,Zach Eflin (FA),SP84,208,486,311.3,105.1,-
290,,Hurston Waldrep (ATL),SP85,227,297,265,27.1,-
291,,Seth Lugo (KC),SP86,224,323,271,38.5,-
292,,Logan Henderson (MIL),SP87,211,284,254.3,31.3,-
293,,Josh Lowe (TB),OF62,252,280,266.3,13.8,-
294,,Ha-Seong Kim (FA),SS30,250,266,255.3,7.5,-
295,,Eduardo Rodriguez (ARI),SP88,210,563,332.5,136.4,-
296,,Spencer Horwitz (PIT),1B22,234,349,272.3,54.2,-
297,,Otto Lopez (MIA),2B21,232,237,234.5,2.5,-
298,,Tanner Scott (LAD),RP23,224,251,237.5,13.5,-
299,,Kodai Senga (NYM),SP89,181,316,264.7,59.7,-
300,,Cade Cavalli (WSH),SP90,224,427,304.5,75.7,-
301,,Parker Messick (CLE),SP91,238,330,273.7,40.3,-
302,,Jake Cronenworth (SD),2B22,195,402,299,84.5,-
303,,Jordan Beck (COL),OF63,210,293,265.3,39.1,-
304,,Logan O'Hoppe (LAA),C19,234,262,248,14,-
305,,Dillon Dingler (DET),C20,202,296,249,47,-
306,,Michael McGreevy (STL),SP92,230,452,317.3,96.6,-
307,,Carter Jensen (KC),C21,213,298,255.5,42.5,-
308,,Lars Nootbaar (STL),OF64,256,389,300.3,62.7,-
309,,Paul Goldschmidt (FA),1B23,259,494,337.3,110.8,-
310,,Ryan Jeffers (MIN),C22,262,262,262,0,-
311,,Austin Wells (NYY),C23,225,225,225,0,-
312,,Ramon Laureano (SD),OF65,235,296,275.7,28.8,-
313,,Will Warren (NYY),SP93,239,320,282.3,33.3,-
314,,Zack Littell (FA),SP94,257,461,329.7,93,-
315,,Kevin McGonigle (DET),SS31,259,271,265,6,-
316,,Jameson Taillon (CHC),SP95,260,294,277,13.9,-
317,,Matt Wallner (MIN),OF66,268,313,283,21.2,-
318,,Brooks Lee (MIN),SS32,236,346,291,55,-
319,,Lucas Giolito (FA),SP96,266,395,310.7,59.7,-
320,,Ryan Walker (FA),SS33,237,237,237,0,-
321,,Lenyn Sosa (CWS),2B23,252,287,269.5,17.5,-
322,,Tyler Stephenson (CIN),C24,239,239,239,0,-
323,,Grant Taylor (CWS),"SP,RP11",261,335,294,27.2,-
324,,Jose Caballero (NYY),2B24,240,240,240,0,-
325,,Jose A. Ferrer (WSH),RP24,245,245,245,0,-
326,,Landen Roupp (SF),"SP,RP12",263,448,331.3,82.9,-
327,,Nick Gonzales (PIT),2B25,273,495,347,104.7,-
328,,Griffin Jax (TB),RP25,246,246,246,0,-
329,,Josh Jung (TEX),3B21,257,311,286,22.2,-
330,,Max Muncy (LAD),3B22,271,277,274,3,-
331,,Ryan O'Hearn (FA),1B24,275,299,283,11.3,-
332,,Reynaldo Lopez (ATL),SP97,267,405,318.7,61.4,-
333,,Moises Ballesteros (CHC),C25,251,428,339.5,88.5,-
334,,Ryan Walker (SF),RP26,255,255,255,0,-
335,,Ronny Henriquez (MIA),RP27,256,256,256,0,-
336,,Triston Casas (BOS),1B25,261,337,299,38,-
337,,Carlos Narvaez (BOS),C26,261,261,261,0,-
338,,Matthew Liberatore (STL),"SP,RP13",277,444,336,76.5,-
339,,Brandon Marsh (PHI),OF67,282,376,313.3,44.3,-
340,,Jonathan India (KC),2B26,274,379,314.7,46,-
341,,Troy Melton (DET),"SP,RP14",272,295,283.5,11.5,-
342,,Giancarlo Stanton (NYY),RF1,267,267,267,0,-
343,,Kyle Finnegan (FA),RP28,268,268,268,0,-
344,,Joey Cantillo (CLE),"SP,RP15",281,304,291,9.6,-
345,,Bryan Abreu (HOU),RP29,270,270,270,0,-
346,,Nolan Arenado (STL),3B23,279,378,316.3,43.9,-
347,,JJ Wetherholt (STL),SS34,281,291,286,5,-
348,,Andrew Benintendi (CWS),OF68,286,366,312.7,37.7,-
349,,Bryce Eldridge (SF),1B26,272,353,312.5,40.5,-
350,,Edwin Uceta (TB),RP30,274,274,274,0,-
351,,Dylan Beavers (BAL),OF69,279,279,279,0,-
352,,Tony Santillan (CIN),RP31,280,280,280,0,-
353,,Jordan Wicks (CHC),"SP,RP16",284,299,291.5,7.5,-
354,,Jordan Lawlar (ARI),SS35,283,324,303.5,20.5,-
355,,Jared Triolo (PIT),2B27,289,451,345,75,-
356,,Edgar Quero (CWS),C27,285,285,285,0,-
357,,Andrew Kittredge (BAL),RP32,287,287,287,0,-
358,,Dominic Canzone (SEA),OF70,294,374,320.7,37.7,-
359,,Cam Smith (HOU),3B24,289,289,289,0,-
360,,Ernie Clement (TOR),3B25,290,317,303.5,13.5,-
361,,Bailey Ober (MIN),SP98,290,290,290,0,-
362,,Willi Castro (FA),2B28,291,431,361,70,-
363,,Joey Ortiz (MIL),3B26,292,359,325.5,33.5,-
364,,Bo Naylor (CLE),C28,293,293,293,0,-
365,,Trevor Larnach (MIN),OF71,298,348,314.7,23.6,-
366,,Zebby Matthews (MIN),SP99,297,332,314.5,17.5,-
367,,Jordan Leasure (CWS),RP33,298,298,298,0,-
368,,Slade Cecconi (CLE),"SP,RP17",299,388,343.5,44.5,-
369,,Ian Seymour (TB),"SP,RP18",301,301,301,0,-
370,,Riley O'Brien (STL),RP34,302,302,302,0,-
371,,Carson Kelly (CHC),C29,306,306,306,0,-
372,,Victor Robles (SEA),OF72,308,308,308,0,-
373,,Cedric Mullins II (FA),OF73,310,310,310,0,-
374,,Harrison Bader (FA),OF74,312,312,312,0,-
375,,Ryan Weathers (MIA),SP100,315,315,315,0,-
376,,Zach McKinstry (DET),3B27,318,318,318,0,-
377,,Jeremiah Estrada (SD),RP35,321,321,321,0,-
378,,Jesus Sanchez (HOU),OF75,325,325,325,0,-
379,,Simeon Woods Richardson (MIN),SP101,326,326,326,0,-
380,,Sean Murphy (ATL),C30,327,327,327,0,-
381,,Connor Norby (MIA),2B29,328,328,328,0,-
382,,Jonah Tong (NYM),SP102,329,329,329,0,-
383,,Payton Tolle (BOS),"SP,RP19",331,331,331,0,-
384,,Calvin Faucher (MIA),RP36,334,334,334,0,-
385,,Evan Carter (TEX),OF76,336,336,336,0,-
386,,Braxton Ashcraft (PIT),"SP,RP20",339,339,339,0,-
387,,Victor Scott (STL),OF77,340,340,340,0,-
388,,Kristian Campbell (BOS),2B30,341,341,341,0,-
389,,Keibert Ruiz (WSH),C31,342,342,342,0,-
390,,Adrian Morejon (SD),RP37,343,343,343,0,-
391,,Konnor Griffin (PIT),SS36,344,344,344,0,-
392,,Patrick Bailey (SF),C32,345,345,345,0,-
393,,Chad Patrick (MIL),SP103,350,350,350,0,-
394,,Freddy Fermin (SD),C33,352,352,352,0,-
395,,Gavin Sheets (SD),1B27,356,356,356,0,-
396,,Austin Hays (FA),OF78,358,358,358,0,-
397,,Matt Brash (SEA),RP38,360,360,360,0,-
398,,Garrett Whitlock (BOS),"SP,RP21",361,361,361,0,-
399,,Jimmy Crooks III (STL),C34,363,363,363,0,-
400,,Coby Mayo (BAL),3B28,364,364,364,0,-
401,,Parker Meadows (DET),OF79,365,365,365,0,-
402,,Wenceel Perez (DET),CF3,367,367,367,0,-
403,,Justin Crawford (PHI),OF80,368,368,368,0,-
404,,Jonah Heim (FA),C35,369,369,369,0,-
405,,Victor Vodnik (COL),RP39,370,370,370,0,-
406,,Robert Garcia (TEX),RP40,371,371,371,0,-
407,,Luis Gil (NYY),SP104,372,372,372,0,-
408,,Jake Mangum (TB),OF81,373,373,373,0,-
409,,Justin Steele (CHC),SP105,377,377,377,0,-
410,,Isaac Collins (MIL),LF1,380,380,380,0,-
411,,Troy Johnston (COL),1B28,381,381,381,0,-
412,,Liam Hicks (MIA),C36,382,382,382,0,-
413,,Miguel Amaya (CHC),C37,383,383,383,0,-
414,,Tyler O'Neill (BAL),OF82,384,384,384,0,-
415,,Alex Vesia (LAD),RP41,385,385,385,0,-
416,,Ryan McMahon (NYY),3B29,386,386,386,0,-
417,,Spencer Jones (FA),SP106,387,387,387,0,-
418,,Andrew Painter (PHI),SP107,390,390,390,0,-
419,,Robby Snelling (MIA),SP108,391,391,391,0,-
420,,Tyler Mahle (FA),SP109,396,396,396,0,-
421,,Josh Smith (TEX),SS37,397,397,397,0,-
422,,Luis Rengifo (FA),2B31,399,399,399,0,-
423,,Tyler Wells (BAL),SP110,400,400,400,0,-
424,,Jordan Walker (STL),OF83,401,401,401,0,-
425,,Victor Caratini (FA),C38,403,403,403,0,-
426,,Dalton Rushing (LAD),C39,404,404,404,0,-
427,,Zach Cole (HOU),OF84,406,406,406,0,-
428,,Hyeseong Kim (LAD),2B32,408,408,408,0,-
429,,Ke'Bryan Hayes (CIN),3B30,409,409,409,0,-
430,,Nathaniel Lowe (FA),1B29,410,410,410,0,-
431,,A.J. Minter (NYM),RP42,411,411,411,0,-
432,,Phil Maton (CHC),RP43,412,412,412,0,-
433,,Luke Weaver (FA),RP44,413,413,413,0,-
434,,Joe Jimenez (ATL),RP45,414,414,414,0,-
