Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Guillotine,Ronald Acuna Jr. OF | ATL ,,
15,Carolina Reapers,Marcell Ozuna DH | ATL,,32 sec
16,Long Balls,Luis Robert OF | CHW ,,3 min 2 sec
Round 4
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Tim Anderson SS | LAA,,1 min 52 sec
2,Carolina Reapers,Zack Greinke P | KC,,1 min 49 sec
3,Gashouse Gang,Matt Olson 1B | ATL,,31 sec
4,Runtime Terror,Jose Berrios P | TOR ,,35 sec
5,Rieken Havoc,"Corbin Burnes P | ARI ",,50 sec
6,Bashers,Josh Hader P | HOU ,,15 sec
7,Seventh-inning Nachos,Hyun-Jin Ryu P | TOR,,23 sec
8,Simba&#39;s Dublin Green Sox,Kyle Hendricks P | LAA ,,33 sec
9,Dawg,Alex Bregman 3B | BOS ,,2 min 14 sec
10,Trex,*Nolan Arenado 3B | STL,,1 sec
11,Big Sticks,George Springer OF | TOR ,,1 min 20 sec
12,Southpaw,Jose Abreu 1B | HOU,,11 sec
13,Young Guns,Zach Plesac P | LAA,,2 min 24 sec
14,Magnum GI,Keston Hiura 1B | COL,,25 sec
15,Like a Nightmare,Max Fried P | NYY,,18 sec
16,Guillotine,Austin Meadows OF | DET,,18 sec
Round 5
Pick,Team,Player,Elig,Elapsed Time,
1,Guillotine,Liam Hendriks P | BOS ,,43 sec
2,Like a Nightmare,Aroldis Chapman P | BOS,,50 sec
3,Magnum GI,Zack Wheeler P | PHI ,,60 sec
4,Young Guns,Cavan Biggio 2B | KC,,2 min 4 sec
5,Southpaw,Ketel Marte 2B | ARI,,20 sec
6,Big Sticks,Eugenio Suarez 3B | SEA,,1 min 18 sec
7,Trex,*J.T. Realmuto C | PHI,,0 sec
8,Dawg,Edwin Diaz P | LAD ,,29 sec
9,Simba&#39;s Dublin Green Sox,"Jose Altuve 2B,OF | HOU ",,1 min 6 sec
10,Seventh-inning Nachos,Gleyber Torres 2B | DET ,,2 min 5 sec
11,Bashers,Ian Anderson P | ATL,,13 sec
12,Rieken Havoc,Nick Castellanos OF | PHI ,,2 min 50 sec
13,Runtime Terror,Yordan Alvarez DH | HOU ,,9 sec
14,Gashouse Gang,Raisel Iglesias P | ATL ,,38 sec
15,Carolina Reapers,Paul Goldschmidt 1B | NYY,,57 sec
16,Long Balls,Nelson Cruz DH | ,,47 sec
Round 6
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Giancarlo Stanton OF | NYY,,9 sec
2,Carolina Reapers,Matt Chapman 3B | SF,,2 min 3 sec
3,Gashouse Gang,Eddie Rosario DH | MIL,,48 sec
4,Runtime Terror,"Carlos Correa 3B,SS | HOU",,1 min 59 sec
5,Rieken Havoc,Chris Paddack P | DET,,1 min 17 sec
6,Bashers,Lance McCullers P | HOU,,31 sec
7,Seventh-inning Nachos,Brad Hand P | ATL,,34 sec
8,Simba&#39;s Dublin Green Sox,Yoan Moncada 3B | LAA,,1 min 32 sec
9,Dawg,Trent Grisham OF | NYY ,,1 min 24 sec
10,Trex,*Randy Arozarena OF | SEA,,1 sec
11,Big Sticks,Michael Conforto OF | LAD,,1 min 25 sec
12,Southpaw,"Javier Baez 3B,SS,OF | DET",,15 sec
13,Young Guns,Dinelson Lamet P | LAD,,56 sec
14,Magnum GI,Josh Bell 1B | WAS ,,29 sec
15,Like a Nightmare,Victor Robles OF | SEA,,1 min 20 sec
16,Guillotine,Willson Contreras 1B | STL ,,17 sec
Round 7
Pick,Team,Player,Elig,Elapsed Time,
1,Guillotine,Joey Gallo 1B | CHW,,14 sec
2,Like a Nightmare,Byron Buxton OF | MIN,,60 sec
3,Magnum GI,Sandy Alcantara P | MIA,,2 min 24 sec
4,Young Guns,Max Muncy 3B | LAD ,,1 min 27 sec
5,Southpaw,Charlie Blackmon RF | ,,7 sec
6,Big Sticks,Ryan Pressly P | CHC,,1 min 8 sec
7,Trex,*Brandon Lowe 2B | TB ,,1 sec
8,Dawg,Anthony Rizzo 1B | NYY,,2 min 13 sec
9,Simba&#39;s Dublin Green Sox,Yasmani Grandal C | PIT,,53 sec
10,Seventh-inning Nachos,Franmil Reyes DH | ,,2 min 48 sec
11,Bashers,Sonny Gray P | BOS ,,4 sec
12,Rieken Havoc,Jesus Luzardo P | PHI,,1 min 16 sec
13,Runtime Terror,Teoscar Hernandez OF | LAD,,35 sec
14,Gashouse Gang,Charlie Morton P | ATL,,55 sec
15,Carolina Reapers,Gary Sanchez C | BAL,,6 sec
16,Long Balls,Ke'Bryan Hayes 3B | CIN,,1 min 30 sec
Round 8
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,James Karinchak P | CHW ,,1 min 33 sec
2,Carolina Reapers,Dansby Swanson SS | CHC,,11 sec
3,Gashouse Gang,"Lourdes Gurriel OF | ARI ",,19 sec
4,Runtime Terror,Dylan Bundy P | NYM,,2 min 59 sec
5,Rieken Havoc,J.D. Martinez DH | NYM,,11 sec
6,Bashers,Kenley Jansen P | DET ,,18 sec
7,Seventh-inning Nachos,Trey Mancini 1B | ARI,,28 sec
8,Simba&#39;s Dublin Green Sox,Patrick Corbin P | TEX,,33 sec
9,Dawg,Trevor Rosenthal P | DET,,36 sec
10,Trex,*Luke Voit 1B | NYM,,0 sec
11,Big Sticks,Alex Colome P | CHW,,2 min 36 sec
12,Southpaw,Wil Myers RF | ,,2 min 13 sec
13,Young Guns,Julio Urias P | LAD,,1 min 23 sec
14,Magnum GI,Ramon Laureano OF | SD ,,33 sec
15,Like a Nightmare,Sixto Sanchez P | MIA,,2 min 19 sec
16,Guillotine,Kris Bryant DH | COL ,,24 sec
Round 9
Pick,Team,Player,Elig,Elapsed Time,
1,Guillotine,Mike Moustakas 3B | CHW,,17 sec
2,Like a Nightmare,Tommy Pham OF | PIT ,,2 min 4 sec
3,Magnum GI,Pablo Lopez P | MIN ,,31 sec
4,Young Guns,Zac Gallen P | ARI ,,1 min 5 sec
5,Southpaw,"Jeff McNeil 2B,OF | NYM ",,1 min 38 sec
6,Big Sticks,Rhys Hoskins 1B | MIL ,,2 min 32 sec
7,Trex,"*Salvador Perez C,1B | KC ",,1 sec
8,Dawg,Kevin Gausman P | TOR ,,1 min 48 sec
9,Simba&#39;s Dublin Green Sox,Alex Verdugo OF | ATL,,35 sec
10,Seventh-inning Nachos,Ian Happ OF | CHC,,36 sec
11,Bashers,Will Smith C | LAD ,,31 sec
12,Rieken Havoc,Joe Musgrove P | SD ,,1 min 27 sec
13,Runtime Terror,"Dylan Moore 2B,OF | TEX",,1 min 2 sec
14,Gashouse Gang,Jordan Romano P | LAA ,,19 sec
15,Carolina Reapers,Shohei Ohtani DH | LAD ,,5 sec
16,Long Balls,Andrew Vaughn 1B | MIL,,57 sec
Round 10
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,"Tommy Edman 2B,OF | LAD ",,1 min 9 sec
2,Carolina Reapers,Jake Cronenworth 2B | SD,,4 sec
3,Gashouse Gang,Jorge Soler OF | LAA ,,42 sec
4,Runtime Terror,Josh Donaldson 3B | ,,1 min 25 sec
5,Rieken Havoc,Marcus Semien 2B | NYM ,,41 sec
6,Bashers,Mike Yastrzemski OF | KC ,,7 sec
7,Seventh-inning Nachos,Miguel Sano 3B | LAA ,,2 min 2 sec
8,Simba&#39;s Dublin Green Sox,Will Smith P | KC,,15 sec
9,Dawg,Kyle Lewis DH | ARI,,22 sec
10,Trex,*Dominic Smith 1B | SF,,1 sec
11,Big Sticks,Rafael Montero P | DET,,1 min 27 sec
12,Southpaw,Devin Williams P | NYM ,,2 min 29 sec
13,Young Guns,Craig Kimbrel P | HOU,,2 min 44 sec
14,Magnum GI,Gio Urshela 3B | ATH,,28 sec
15,Like a Nightmare,Nick Senzel 3B | CHW,,1 min 26 sec
16,Guillotine,James Paxton P | BOS,,29 sec
Round 11
Pick,Team,Player,Elig,Elapsed Time,
1,Guillotine,Amir Garrett P | TOR,,10 min 36 sec
2,Like a Nightmare,Kyle Schwarber DH | PHI ,,7 sec
3,Magnum GI,Diego Castillo P | COL,,1 min 5 sec
4,Young Guns,Carlos Carrasco P | ATL,,1 min 46 sec
5,Southpaw,Corey Kluber SP | ,,23 sec
6,Big Sticks,German Marquez P | COL,,12 min 15 sec
7,Trex,*Clint Frazier OF | CHW,,1 sec
8,Dawg,Cristian Javier P | HOU,,1 min 50 sec
9,Simba&#39;s Dublin Green Sox,Jordan Hicks P | BOS ,,13 sec
10,Seventh-inning Nachos,Dylan Carlson OF | BAL ,,20 sec
11,Bashers,Jameson Taillon P | CHC,,1 min 2 sec
12,Rieken Havoc,Carlos Santana 1B | CHC,,6 sec
13,Runtime Terror,Andrew McCutchen DH | PIT,,46 sec
14,Gashouse Gang,Giovanny Gallegos P | LAD ,,16 sec
15,Carolina Reapers,Adam Wainwright SP | ,,5 sec
16,Long Balls,Tyler Mahle P | TEX,,1 min 42 sec
Round 12
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Frankie Montas P | NYM ,,8 sec
2,Carolina Reapers,Max Kepler OF | PHI,,39 sec
3,Gashouse Gang,Andrew Benintendi OF | CHW ,,17 sec
4,Runtime Terror,Marcus Stroman P | NYY,,44 sec
5,Rieken Havoc,Triston McKenzie P | CLE ,,1 min 34 sec
6,Bashers,Eric Hosmer 1B | ,,8 sec
7,Seventh-inning Nachos,Justin Turner 1B | CHC ,,1 min 23 sec
8,Simba&#39;s Dublin Green Sox,Ryan Mountcastle 1B | BAL,,29 sec
9,Dawg,Travis d'Arnaud C | LAA ,,1 min 28 sec
10,Trex,*Mike Soroka P | ARI ,,1 sec
11,Big Sticks,Anthony Santander OF | TOR ,,1 min 55 sec
12,Southpaw,Aaron Civale P | CHC,,11 sec
13,Young Guns,Aaron Hicks OF | LAA,,13 sec
14,Magnum GI,Hunter Dozier 3B | LAA,,40 sec
15,Like a Nightmare,Jose Urquidy P | DET ,,1 min 38 sec
16,Guillotine,David Price RP | ,,25 sec
Round 13
Pick,Team,Player,Elig,Elapsed Time,
1,Guillotine,Austin Riley 3B | ATL ,,11 sec
2,Like a Nightmare,Emilio Pagan P | CIN ,,1 min 6 sec
3,Magnum GI,Taijuan Walker P | PHI,,45 sec
4,Young Guns,Alec Bohm 3B | PHI,,38 sec
5,Southpaw,Jean Segura 3B | ,,1 min 9 sec
6,Big Sticks,Daniel Bard P | COL,,2 min 23 sec
7,Trex,*Mitch Haniger OF | SEA,,0 sec
8,Dawg,Paul DeJong 3B | WAS,,35 sec
9,Simba&#39;s Dublin Green Sox,Manuel Margot OF | DET,,19 sec
10,Seventh-inning Nachos,Dallas Keuchel P | MIL,,1 min 38 sec
11,Bashers,Joc Pederson DH | TEX,,4 sec
12,Rieken Havoc,Ty France 1B | TOR,,1 min 43 sec
13,Runtime Terror,Ryan McMahon 3B | NYY,,60 sec
14,Gashouse Gang,Kolten Wong 2B | BAL,,31 sec
15,Carolina Reapers,Rougned Odor 2B | SD,,4 sec
16,Long Balls,Gavin Lux OF | CIN,,1 min 57 sec
Round 14
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Freddy Peralta P | MIL ,,2 min 57 sec
2,Carolina Reapers,Marco Gonzales P | PIT,,43 sec
3,Gashouse Gang,Michael Brantley LF | ,,31 sec
4,Runtime Terror,Jesse Winker DH | NYM,,18 sec
5,Rieken Havoc,Greg Holland RP | ,,1 min 31 sec
6,Bashers,A.J. Pollock LF | ,,46 sec
7,Seventh-inning Nachos,Archie Bradley RP | ,,2 min 49 sec
8,Simba&#39;s Dublin Green Sox,Ryan Yarbrough P | NYY ,,18 sec
9,Dawg,Nick Madrigal 3B | NYM ,,48 sec
10,Trex,*John Means P | CLE ,,0 sec
11,Big Sticks,Eduardo Rodriguez P | ARI,,1 min 31 sec
12,Southpaw,Domingo German P | PIT,,1 min 22 sec
13,Young Guns,Chris Sale P | ATL ,,2 min 37 sec
14,Magnum GI,Carlos Martinez SP | ,,1 min 22 sec
15,Like a Nightmare,C.J. Cron 1B | BOS,,1 min 8 sec
16,Guillotine,Didi Gregorius SS | ,,11 sec
Round 15
Pick,Team,Player,Elig,Elapsed Time,
1,Guillotine,Luis Severino P | ATH,,1 min 3 sec
2,Like a Nightmare,Jonathan Schoop 2B | ,,47 sec
3,Magnum GI,Gregory Soto P | PIT ,,1 min 45 sec
4,Young Guns,Matt Barnes P | WAS,,2 min 34 sec
5,Southpaw,Drew Pomeranz P | LAA ,,11 sec
6,Big Sticks,Richard Rodriguez RP | ,,2 min 28 sec
7,Trex,*Framber Valdez P | HOU ,,1 sec
8,Dawg,Brandon Nimmo OF | TEX ,,39 sec
9,Simba&#39;s Dublin Green Sox,Anthony Bass P | TOR,,1 min 47 sec
10,Seventh-inning Nachos,Chris Bassitt P | TOR,,10 sec
11,Bashers,Mark Canha OF | KC,,12 sec
12,Rieken Havoc,Jarred Kelenic OF | ATL,,5 sec
13,Runtime Terror,Sean Murphy C | ATL ,,8 sec
14,Gashouse Gang,Raimel Tapia OF | TB,,41 sec
15,Carolina Reapers,Alex Dickerson DH | ,,3 sec
16,Long Balls,Noah Syndergaard P | CLE,,52 sec
Round 16
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Mitch Garver C | SEA ,,3 min 0 sec
2,Carolina Reapers,Dylan Cease P | TOR ,,52 sec
3,Gashouse Gang,Sean Manaea P | NYM ,,25 sec
4,Runtime Terror,Dustin May P | STL ,,25 sec
5,Rieken Havoc,Joakim Soria RP | ,,35 sec
6,Bashers,Jordan Montgomery P | MIL,,53 sec
7,Seventh-inning Nachos,James McCann C | ARI ,,25 sec
8,Simba&#39;s Dublin Green Sox,Randal Grichuk OF | KC ,,18 sec
9,Dawg,Cal Quantrill P | ATL,,1 min 29 sec
10,Trex,*Michael Pineda SP | ,,1 sec
11,Big Sticks,Garrett Hampson OF | STL,,2 min 9 sec
12,Southpaw,Andrew Heaney P | LAD,,9 sec
13,Young Guns,Christian Vazquez C | MIN,,35 sec
14,Magnum GI,"Willi Castro 2B,3B,OF | CHC",,22 sec
15,Like a Nightmare,Nick Wittgren P | SEA,,1 min 26 sec
16,Guillotine,Jared Walsh 1B | TEX,,23 sec
Round 17
Pick,Team,Player,Elig,Elapsed Time,
1,Guillotine,Tony Gonsolin P | LAD ,,10 sec
2,Like a Nightmare,Yusei Kikuchi P | LAA ,,1 min 43 sec
3,Magnum GI,Jake McGee RP | ,,21 sec
4,Young Guns,Myles Straw OF | TOR,,1 min 21 sec
5,Southpaw,Yadier Molina C | ,,4 sec
6,Big Sticks,Brian Anderson OF | ATL,,1 min 30 sec
7,Trex,*Griffin Canning P | NYM,,1 sec
8,Dawg,Zach Eflin P | BAL,,2 min 3 sec
9,Simba&#39;s Dublin Green Sox,Christian Walker 1B | HOU,,9 sec
10,Seventh-inning Nachos,Elieser Hernandez P | MIL ,,52 sec
11,Bashers,Kyle Seager 3B | ,,1 min 45 sec
12,Rieken Havoc,Adley Rutschman C | BAL,,12 sec
13,Runtime Terror,Brad Keller P | PHI ,,1 min 10 sec
14,Gashouse Gang,"Isiah Kiner-Falefa 3B,SS | TOR",,33 sec
15,Carolina Reapers,Jake Arrieta SP | ,,3 sec
16,Long Balls,Tyler O'Neill OF | BAL ,,2 min 38 sec
Round 18
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Alex Kirilloff OF | MIN,,4 min 46 sec
2,Carolina Reapers,Zach Davies P | WAS,,1 min 4 sec
3,Gashouse Gang,Trevor May RP | ,,21 sec
4,Runtime Terror,Brady Singer P | CIN,,40 sec
5,Rieken Havoc,Nathan Eovaldi P | TEX ,,12 sec
6,Bashers,Ian Kennedy P | TEX,,5 sec
7,Seventh-inning Nachos,Tommy La Stella DH | ,,6 sec
8,Simba&#39;s Dublin Green Sox,Blake Treinen P | LAD,,19 sec
9,Dawg,Chris Archer SP | ,,18 sec
10,Trex,*Tejay Antone P | CIN,,1 sec
11,Big Sticks,Bobby Dalbec 1B | CHW,,59 sec
12,Southpaw,Drew Smyly P | CHC,,5 sec
13,Young Guns,Madison Bumgarner SP | ,,2 min 7 sec
14,Magnum GI,Omar Narvaez C | HOU,,31 sec
15,Like a Nightmare,Taylor Rogers P | CHC,,1 min 46 sec
16,Guillotine,Nick Solak 1B | PIT,,13 sec
Round 19
Pick,Team,Player,Elig,Elapsed Time,
1,Guillotine,Yimi Garcia P | TOR ,,44 sec
2,Like a Nightmare,J.D. Davis 1B | LAA,,2 min 9 sec
3,Magnum GI,David Peralta OF | SD,,44 sec
4,Young Guns,David Fletcher 2B | ATL ,,2 min 49 sec
5,Southpaw,Andres Gimenez 2B | TOR,,10 sec
6,Big Sticks,Jonathan Villar 3B | ,,13 sec
7,Trex,Kwang Hyun Kim SP | ,,17 sec
8,Dawg,Leody Taveras OF | SEA ,,1 min 50 sec
9,Simba&#39;s Dublin Green Sox,Matt Shoemaker SP | ,,30 sec
10,Seventh-inning Nachos,Adam Ottavino P | NYY,,1 min 17 sec
11,Bashers,Tanner Scott P | LAD ,,40 sec
12,Rieken Havoc,Kole Calhoun 1B | CLE,,1 min 4 sec
13,Runtime Terror,Wander Franco SS | TB ,,9 sec
14,Gashouse Gang,Pete Fairbanks P | TB ,,45 sec
15,Carolina Reapers,Roberto Osuna RP | ,,3 sec
16,Long Balls,Alex Reyes P | LAD,,3 min 1 sec
Round 20
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,*Tarik Skubal P | DET ,,3 min 2 sec
2,Carolina Reapers,Daniel Hudson P | LAD,,16 sec
3,Gashouse Gang,Carson Kelly C | CHC,,27 sec
4,Runtime Terror,Nate Pearson P | HOU,,26 sec
5,Rieken Havoc,MacKenzie Gore P | WAS ,,4 sec
6,Bashers,"Josh Rojas 2B,3B | CHW",,19 sec
7,Seventh-inning Nachos,Adbert Alzolay P | NYM ,,22 sec
8,Simba&#39;s Dublin Green Sox,Jorge Polanco 2B | NYM ,,21 sec
9,Dawg,Caleb Smith RP | ,,43 sec
10,Trex,Matthew Boyd P | CHC,,9 sec
11,Big Sticks,Austin Nola C | COL ,,12 sec
12,Southpaw,Lorenzo Cain CF | ,,5 sec
13,Young Guns,Bobby Witt SS | KC,,7 sec
14,Magnum GI,Corey Dickerson LF | ,,49 sec
15,Like a Nightmare,Buster Posey C | ,,15 sec
16,Guillotine,Hector Neris P | HOU,,27 sec
Round 21
Pick,Team,Player,Elig,Elapsed Time,
1,Guillotine,Jose Leclerc P | ATH,,8 sec (17 min 48 sec)
2,Like a Nightmare,Jose Alvarado P | PHI ,,29 sec (23 min 46 sec)
3,Magnum GI,Brandon Kintzler RP | ,,1 min 29 sec (19 min 5 sec)
4,Young Guns,Casey Mize P | DET,,1 min 3 sec (32 min 23 sec)
5,Southpaw,Justus Sheffield P | SEA,,8 sec (12 min 5 sec)
6,Big Sticks,Jake Odorizzi P | TB,,6 sec (43 min 19 sec)
7,Trex,Elvis Andrus 2B | ,,2 min 32 sec (6 min 43 sec)
8,Dawg,Mitch Moreland DH | ,,55 sec (26 min 10 sec)
9,Simba&#39;s Dublin Green Sox,Jason Heyward OF | SD,,31 sec (14 min 24 sec)
10,Seventh-inning Nachos,Rowdy Tellez 1B | TEX,,13 sec (19 min 17 sec)
11,Bashers,Bryan Reynolds OF | PIT,,47 sec (9 min 17 sec)
12,Rieken Havoc,Adam Eaton RF | ,,8 sec (17 min 36 sec)
13,Runtime Terror,Dellin Betances RP | ,,8 sec (17 min 58 sec)
14,Gashouse Gang,Chris Taylor OF | LAA,,24 sec (10 min 6 sec)
15,Carolina Reapers,Jorge Alfaro C | WAS ,,19 sec (11 min 2 sec)
16,Long Balls,Nate Lowe 1B | BOS ,,0 sec (37 min 4 sec)
