Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Bobby Witt SS | KC,,
1,Long Balls,Spencer Schwellenbach P | ATL ,,1 min 50 sec
2,MAGA DOGE ,Ryan Helsley P | BAL ,,1 min 8 sec
3,Rieken Havoc,Jordan Westburg 3B | BAL,,58 sec
4,Young Guns,Logan Webb P | SF,,2 min 52 sec
5,Runtime Terror,Hunter Brown P | HOU,,31 sec
6,Dawg,Tanner Bibee P | CLE,,54 sec
7,Trex,Junior Caminero 3B | TB,,1 min 10 sec
8,Magnum GI,Tanner Scott P | LAD ,,1 min 14 sec
9,Simba's Dublin Green Sox,Luis Castillo P | SEA,,18 sec
10,Gashouse Gang,Freddy Peralta P | MIL ,,43 sec
11,Big Sticks,Christian Walker 1B | HOU,,56 sec
12,Guillotine,Randy Arozarena OF | SEA,,26 sec
13,Like a Nightmare,Andres Munoz P | SEA ,,20 sec
Round 8
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Jhoan Duran P | PHI,,1 min 15 sec
2,Guillotine,Adley Rutschman C | BAL,,26 sec
3,Big Sticks,Max Fried P | NYY,,2 min 0 sec
4,Gashouse Gang,Alex Bregman 3B | BOS ,,7 sec
5,Simba's Dublin Green Sox,Willson Contreras 1B | STL ,,1 min 5 sec
6,Magnum GI,Joshua Lowe OF | TB,,1 min 40 sec
7,Trex,"Salvador Perez C,1B | KC ",,1 min 47 sec
8,Dawg,Bryan Reynolds OF | PIT,,1 min 1 sec
9,Runtime Terror,Shohei Ohtani (Pitcher) P | LAD ,,5 sec
10,Young Guns,Shane McClanahan P | TB ,,2 min 22 sec
11,Rieken Havoc,Zac Gallen P | ARI ,,47 sec
12,MAGA DOGE ,Willy Adames SS | SF,,49 sec
13,Long Balls,Sandy Alcantara P | MIA,,5 min 5 sec
Round 9
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Bailey Ober P | MIN,,5 sec
2,MAGA DOGE ,Christian Yelich DH | MIL,,45 sec
3,Rieken Havoc,Joe Ryan P | MIN,,27 sec
4,Young Guns,Matt McLain 2B | CIN,,13 sec
5,Runtime Terror,Anthony Santander OF | TOR ,,29 sec
6,Dawg,Seiya Suzuki OF | CHC,,3 min 44 sec
7,Trex,George Kirby P | SEA,,38 sec
8,Magnum GI,Clay Holmes P | NYM,,1 min 8 sec
9,Simba's Dublin Green Sox,Jasson Dominguez OF | NYY,,18 sec
10,Gashouse Gang,Triston Casas 1B | BOS ,,44 sec
11,Big Sticks,Sonny Gray P | BOS ,,54 sec
12,Guillotine,Dylan Crews OF | WAS,,38 sec
13,Like a Nightmare,Mark Vientos 3B | NYM,,2 min 22 sec
Round 10
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Felix Bautista P | BAL ,,7 sec
2,Guillotine,"Xavier Edwards 2B,SS | MIA",,35 sec
3,Big Sticks,"Justin Steele P | CHC ",,13 sec
4,Gashouse Gang,Ryan Walker P | SF,,1 min 27 sec
5,Simba's Dublin Green Sox,Jeff Hoffman P | TOR ,,2 min 11 sec
6,Magnum GI,Jake Burger 1B | TEX ,,1 min 3 sec
7,Trex,Roki Sasaki P | LAD ,,11 sec
8,Dawg,Cal Raleigh C | SEA,,32 sec
9,Runtime Terror,Ian Happ OF | CHC,,1 min 11 sec
10,Young Guns,Robert Suarez P | ATL ,,4 min 23 sec
11,Rieken Havoc,Bryan Woo P | SEA,,13 sec
12,MAGA DOGE ,Matt Chapman 3B | SF,,12 sec
13,Long Balls,Royce Lewis 3B | MIN,,1 min 4 sec
Round 11
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Jordan Romano P | LAA ,,14 sec
2,MAGA DOGE ,Jack Flaherty P | DET ,,43 sec
3,Rieken Havoc,Robbie Ray P | SF,,2 min 28 sec
4,Young Guns,"Anthony Volpe SS | NYY ",,1 min 18 sec
5,Runtime Terror,"Carlos Rodon P | NYY ",,14 sec
6,Dawg,Riley Greene OF | DET,,1 min 53 sec
7,Trex,Vinnie Pasquantino 1B | KC,,16 sec
8,Magnum GI,Victor Robles OF | SEA,,2 min 18 sec
9,Simba's Dublin Green Sox,Brice Turang 2B | MIL,,1 min 56 sec
10,Gashouse Gang,Pete Crow-Armstrong OF | CHC,,51 sec
11,Big Sticks,Ryan Pressly P | CHC,,2 min 41 sec
12,Guillotine,Cristopher Sanchez P | PHI,,11 sec
13,Like a Nightmare,Ryan Pepiot P | TB,,1 min 20 sec
Round 12
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Paul Goldschmidt 1B | NYY,,12 sec
2,Guillotine,Masyn Winn SS | STL ,,9 sec
3,Big Sticks,Pete Fairbanks P | TB ,,13 sec
4,Gashouse Gang,Cedric Mullins OF | TB ,,1 min 14 sec
5,Simba's Dublin Green Sox,Trevor Megill P | MIL,,19 sec
6,Magnum GI,Brandon Lowe 2B | TB ,,1 min 7 sec
7,Trex,Jackson Holliday 2B | BAL,,1 min 50 sec
8,Dawg,Yusei Kikuchi P | LAA ,,35 sec
9,Runtime Terror,Colton Cowser OF | BAL,,1 min 25 sec
10,Young Guns,Kodai Senga P | NYM,,1 min 18 sec
11,Rieken Havoc,Steven Kwan OF | CLE,,3 min 3 sec
12,MAGA DOGE ,Luis Garcia 2B | WAS,,10 sec
13,Long Balls,Isaac Paredes 3B | HOU ,,2 min 58 sec
Round 13
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Spencer Arrighetti P | HOU ,,8 sec
2,MAGA DOGE ,Seth Lugo P | KC ,,2 min 16 sec
3,Rieken Havoc,David Bednar P | NYY,,1 min 27 sec
4,Young Guns,Max Muncy 3B | LAD ,,1 min 55 sec
5,Runtime Terror,Spencer Steer 1B | CIN,,50 sec
6,Dawg,Kenley Jansen P | DET ,,2 min 36 sec
7,Trex,Ezequiel Tovar SS | COL,,34 sec
8,Magnum GI,Grant Holmes P | ATL ,,2 min 57 sec
9,Simba's Dublin Green Sox,"Luis Rengifo 2B,3B | LAA",,57 sec
10,Gashouse Gang,Will Smith C | LAD ,,1 min 3 sec
11,Big Sticks,Adolis Garcia OF | PHI ,,1 min 58 sec
12,Guillotine,Nick Pivetta P | SD,,17 sec
13,Like a Nightmare,Andres Gimenez 2B | TOR,,2 min 3 sec
Round 14
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Nolan Arenado 3B | STL,,7 sec
2,Guillotine,Eugenio Suarez 3B | SEA,,3 sec
3,Big Sticks,Kevin Gausman P | TOR ,,2 min 45 sec
4,Gashouse Gang,"Carlos Correa 3B,SS | HOU",,18 sec
5,Simba's Dublin Green Sox,"Tommy Edman 2B,OF | LAD ",,1 min 37 sec
6,Magnum GI,Tyler Fitzgerald 2B | SF,,1 min 45 sec
7,Trex,Matt Shaw 3B | CHC,,57 sec
8,Dawg,Dansby Swanson SS | CHC,,35 sec
9,Runtime Terror,Brandon Nimmo OF | TEX ,,1 min 5 sec
10,Young Guns,Tyler O'Neill OF | BAL ,,1 min 8 sec
11,Rieken Havoc,Lane Thomas OF | KC ,,10 sec
12,MAGA DOGE ,Reynaldo Lopez P | ATL ,,58 sec
13,Long Balls,Gavin Williams P | CLE,,2 min 52 sec
Round 15
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Sean Manaea P | NYM ,,9 sec
2,MAGA DOGE ,Alec Bohm 3B | PHI,,32 sec
3,Rieken Havoc,Maikel Garcia 3B | KC ,,39 sec
4,Young Guns,Michael Toglia 1B | COL ,,35 sec
5,Runtime Terror,"Tanner Houck P | BOS ",,25 sec
6,Dawg,Bryson Stott 2B | PHI,,2 min 4 sec
7,Trex,Byron Buxton OF | MIN,,8 sec
8,Magnum GI,Ryan McMahon 3B | NYY,,3 min 9 sec
9,Simba's Dublin Green Sox,Nick Castellanos OF | PHI ,,29 sec
10,Gashouse Gang,Kerry Carpenter OF | DET,,39 sec
11,Big Sticks,"Justin Martinez P | ARI ",,57 sec
12,Guillotine,Jurickson Profar OF | ATL,,24 sec
13,Like a Nightmare,Yainer Diaz C | HOU,,2 min 13 sec
Round 16
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Grayson Rodriguez P | LAA ,,59 sec
2,Guillotine,"A.J. Puk P | ARI ",,1 min 8 sec
3,Big Sticks,Brandon Woodruff P | MIL ,,3 min 48 sec
4,Gashouse Gang,Brandon Pfaadt P | ARI,,42 sec
5,Simba's Dublin Green Sox,Rhys Hoskins 1B | MIL ,,11 sec
6,Magnum GI,Christopher Morel OF | MIA ,,1 min 7 sec
7,Trex,Alexis Diaz P | TEX ,,5 sec
8,Dawg,Aroldis Chapman P | BOS,,1 min 3 sec
9,Runtime Terror,J.T. Realmuto C | PHI,,42 sec
10,Young Guns,Jared Jones P | PIT ,,3 min 4 sec
11,Rieken Havoc,Shea Langeliers C | ATH,,1 min 14 sec
12,MAGA DOGE ,Nathan Eovaldi P | TEX ,,17 sec
13,Long Balls,Jesus Luzardo P | PHI,,1 min 16 sec
Round 17
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Walker Buehler P | PHI,,7 sec
2,MAGA DOGE ,Heliot Ramos OF | SF,,11 sec
3,Rieken Havoc,Carlos Estevez P | KC,,1 min 51 sec
4,Young Guns,Nico Hoerner 2B | CHC,,5 min 10 sec
5,Runtime Terror,Austin Wells C | NYY,,11 sec
6,Dawg,Lucas Erceg P | KC ,,42 sec
7,Trex,"Ronel Blanco P | HOU ",,7 sec
8,Magnum GI,Logan O'Hoppe C | LAA,,1 min 26 sec
9,Simba's Dublin Green Sox,Yandy Diaz 1B | TB,,25 sec
10,Gashouse Gang,Drew Rasmussen P | TB,,1 min 27 sec
11,Big Sticks,Zack Gelof 2B | ATH ,,1 min 32 sec
12,Guillotine,Griffin Jax P | TB ,,15 sec
13,Like a Nightmare,"Ceddanne Rafaela 2B,OF | BOS ",,36 sec
Round 18
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Shane Baz P | TB ,,44 sec
2,Guillotine,"Jonathan India 2B,3B,OF | KC ",,8 sec
3,Big Sticks,Taylor Ward OF | BAL ,,5 min 2 sec
4,Gashouse Gang,Jorge Soler OF | LAA ,,46 sec
5,Simba's Dublin Green Sox,"Lourdes Gurriel OF | ARI ",,18 sec
6,Magnum GI,Bryan Abreu P | HOU,,1 min 10 sec
7,Trex,Zach Eflin P | BAL,,8 sec
8,Dawg,Michael Busch 1B | CHC,,47 sec
9,Runtime Terror,Cade Smith P | CLE,,3 sec
10,Young Guns,Nolan Jones OF | CLE ,,3 min 53 sec
11,Rieken Havoc,Zachary Neto SS | LAA ,,22 sec
12,MAGA DOGE ,George Springer OF | TOR ,,18 sec
13,Long Balls,Trevor Story SS | BOS ,,2 min 17 sec
Round 19
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Kristian Campbell 2B | BOS ,,51 sec
2,MAGA DOGE ,Max Scherzer P | TOR ,,37 sec
3,Rieken Havoc,MacKenzie Gore P | WAS ,,13 sec
4,Young Guns,Dustin May P | STL ,,1 min 5 sec
5,Runtime Terror,Luke Weaver P | NYY ,,41 sec
6,Dawg,Kirby Yates P | LAD,,2 min 3 sec
7,Trex,"Jackson Jobe P | DET ",,6 sec
8,Magnum GI,Matt Wallner OF | MIN,,34 sec
9,Simba's Dublin Green Sox,"Jason Foley P | SF ",,1 min 5 sec
10,Gashouse Gang,Justin Slaten P | BOS,,47 sec
11,Big Sticks,"Willi Castro 2B,3B,OF | CHC",,47 sec
12,Guillotine,Ryan Mountcastle 1B | BAL,,25 sec
13,Like a Nightmare,J.J. Bleday OF | ATH ,,18 sec
Round 20
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Jake McCarthy OF | ARI ,,33 sec
2,Guillotine,Nate Lowe 1B | BOS ,,29 sec
3,Big Sticks,Kyle Finnegan P | DET ,,3 min 2 sec
4,Gashouse Gang,Kevin Ginkel P | ARI ,,1 min 22 sec
5,Simba's Dublin Green Sox,Edwin Uceta P | TB ,,21 sec
6,Magnum GI,Chad Green P | TOR,,1 min 51 sec
7,Trex,Kumar Rocker P | TEX,,7 sec
8,Dawg,Jeremy Pena SS | HOU,,39 sec
9,Runtime Terror,Travis Bazzana 2B | CLE,,6 sec
10,Young Guns,Christian Encarnacion-Strand 1B | CIN,,53 sec
11,Rieken Havoc,Gleyber Torres 2B | DET ,,1 min 33 sec
12,MAGA DOGE ,Blake Treinen P | LAD,,1 min 15 sec
13,Long Balls,Spencer Torkelson 1B | DET,,20 sec
Round 21
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Ivan Herrera DH | STL ,,18 sec
2,MAGA DOGE ,Ryan Jeffers C | MIN,,42 sec
3,Rieken Havoc,Nick Lodolo P | CIN,,13 sec
4,Young Guns,Gabriel Moreno C | ARI,,1 min 3 sec
5,Runtime Terror,Jason Adam P | SD ,,8 sec
6,Dawg,Jeremiah Estrada P | SD,,32 sec
7,Trex,Victor Scott II OF | STL,,8 sec
8,Magnum GI,Charlie Morton P | ATL,,1 min 13 sec
9,Simba's Dublin Green Sox,Michael Wacha P | KC,,46 sec
10,Gashouse Gang,Taj Bradley P | MIN,,45 sec
11,Big Sticks,Tyler Stephenson C | CIN,,28 sec
12,Guillotine,Calvin Faucher P | MIA,,27 sec
13,Like a Nightmare,Joc Pederson DH | TEX,,1 min 42 sec
Round 22
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Cam Smith OF | HOU ,,11 sec (19 min 54 sec)
2,Guillotine,Hayden Birdsong P | SF,,12 sec (10 min 58 sec)
3,Big Sticks,Jose Berrios P | TOR ,,1 min 16 sec (35 min 1 sec)
4,Gashouse Gang,Porter Hodge P | CHC,,1 min 1 sec (19 min 45 sec)
5,Simba's Dublin Green Sox,TJ Friedl OF | CIN,,4 min 59 sec (22 min 45 sec)
6,Magnum GI,Jose Siri OF | NYM,,23 sec (33 min 4 sec)
7,Trex,"Alec Burleson 1B,OF | STL",,6 sec (12 min 55 sec)
8,Dawg,Nolan Schanuel 1B | LAA,,35 sec (29 min 52 sec)
9,Runtime Terror,Luis Arraez 1B | SD,,3 sec (10 min 27 sec)
10,Young Guns,Andrew Painter P | PHI ,,2 min 8 sec (42 min 14 sec)
11,Rieken Havoc,Chris Martin P | TEX ,,15 sec (25 min 15 sec)
12,MAGA DOGE ,Shane Bieber P | TOR ,,15 sec (16 min 34 sec)
13,Long Balls,Mike Clevinger P | CHW,,21 sec (24 min 1 sec)
