Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Trea Turner SS | PHI,,
Round 17
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Miles Mikolas P | STL,,38 sec
2,Guillotine,Nico Hoerner 2B | CHC,,45 sec
3,Big Sticks,Brandon Drury 2B | CHW,,6 min 29 sec
4,Simba&#39;s Dublin Green Sox,J.D. Martinez DH | NYM,,55 sec
5,Dawg,Jon Gray P | TEX,,8 sec
6,Runtime Terror,Joey Meneses 1B | NYM ,,47 sec
7,Rieken Havoc,Patrick Sandoval P | BOS ,,1 min 13 sec
8,Gashouse Gang,Taylor Rogers P | CHC,,1 min 20 sec
9,Long Balls,"Jeff McNeil 2B,OF | NYM ",,32 sec
10,Magnum GI,Seth Brown OF | ATH,,1 min 16 sec
11,Young Guns,Josh Jung 3B | TEX,,36 sec
12,Bashers,Alex Cobb P | DET,,16 sec
13,Like a Nightmare,Jason Adam P | SD ,,2 min 16 sec
Round 18
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Harrison Bader OF | PHI ,,14 sec
2,Bashers,Sonny Gray P | BOS ,,1 min 8 sec
3,Young Guns,Trevor Rogers P | BAL,,59 sec
4,Magnum GI,Merrill Kelly P | TEX ,,56 sec
5,Long Balls,Josh Naylor 1B | SEA ,,23 sec
6,Gashouse Gang,Jose Alvarado P | PHI ,,1 min 15 sec
7,Rieken Havoc,Kolten Wong 2B | BAL,,7 sec
8,Runtime Terror,Adam Ottavino P | NYY,,14 sec
9,Dawg,Noah Syndergaard P | CLE,,1 min 19 sec
10,Simba&#39;s Dublin Green Sox,Ramon Laureano OF | SD ,,48 sec
11,Big Sticks,Brady Singer P | CIN,,13 sec
12,Guillotine,Jarred Kelenic OF | ATL,,1 min 15 sec
13,Trex,Brendan Donovan 2B | STL ,,29 sec
Round 19
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Jose Berrios P | TOR ,,57 sec
2,Guillotine,Nathan Eovaldi P | TEX ,,23 sec
3,Big Sticks,Kendall Graveman P | ARI,,40 sec
4,Simba&#39;s Dublin Green Sox,Dylan Floro P | ARI,,59 sec
5,Dawg,Justin Turner 1B | CHC ,,47 sec
6,Runtime Terror,Michael King P | SD ,,25 sec
7,Rieken Havoc,Alec Bohm 3B | PHI,,56 sec
8,Gashouse Gang,Joc Pederson DH | TEX,,52 sec
9,Long Balls,Edward Cabrera P | MIA,,2 min 50 sec
10,Magnum GI,Chris Taylor OF | LAA,,41 sec
11,Young Guns,Trevor Story SS | BOS ,,1 min 57 sec
12,Bashers,Jesse Winker DH | NYM,,12 sec
13,Like a Nightmare,Michael Conforto OF | LAD,,1 min 25 sec
Round 20
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Luis Urias 2B | ATH,,13 sec
2,Bashers,"A.J. Puk P | ARI ",,13 sec
3,Young Guns,"Anthony Volpe SS | NYY ",,2 min 36 sec
4,Magnum GI,Carlos Carrasco P | ATL,,1 min 11 sec
5,Long Balls,Keibert Ruiz C | WAS ,,40 sec
6,Gashouse Gang,Kenta Maeda P | NYY ,,60 sec
7,Rieken Havoc,Garrett Mitchell OF | MIL ,,2 min 31 sec
8,Runtime Terror,Lance McCullers P | HOU,,44 sec
9,Dawg,Will Smith P | KC,,35 sec
10,Simba&#39;s Dublin Green Sox,Tyler Mahle P | TEX,,8 sec
11,Big Sticks,Jose Urquidy P | DET ,,1 min 10 sec
12,Guillotine,Jameson Taillon P | CHC,,38 sec
13,Trex,Oscar Colas OF | CHW,,43 sec
Round 21
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Oswaldo Cabrera 3B | NYY ,,21 sec
2,Guillotine,Luis Arraez 1B | SD,,1 min 10 sec
3,Big Sticks,Andrew Benintendi OF | CHW ,,5 sec
4,Simba&#39;s Dublin Green Sox,Daniel Hudson P | LAD,,31 sec
5,Dawg,Gregory Soto P | PIT ,,1 min 3 sec
6,Runtime Terror,Yasmani Grandal C | PIT,,19 sec
7,Rieken Havoc,Francisco Alvarez C | NYM ,,1 min 38 sec
8,Gashouse Gang,Jorge Lopez P | WAS,,28 sec
9,Long Balls,Aaron Ashby P | MIL,,4 min 45 sec
10,Magnum GI,Sean Manaea P | NYM ,,1 min 1 sec
11,Young Guns,C.J. Abrams SS | WAS,,1 min 18 sec
12,Bashers,Alex Verdugo OF | ATL,,19 sec
13,Like a Nightmare,Spencer Torkelson 1B | DET,,41 sec
Round 22
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Tylor Megill P | NYM ,,25 sec (16 min 23 sec)
2,Bashers,Jean Segura 3B | ,,2 min 22 sec (14 min 1 sec)
3,Young Guns,Andrew Painter P | PHI ,,1 min 25 sec (28 min 41 sec)
4,Magnum GI,Jake Fraley OF | TB ,,7 sec (35 min 51 sec)
5,Long Balls,Jasson Dominguez OF | NYY,,16 sec (36 min 0 sec)
6,Gashouse Gang,James Karinchak P | CHW ,,1 min 20 sec (17 min 33 sec)
7,Rieken Havoc,Danny Jansen C | TEX ,,1 min 44 sec (31 min 4 sec)
8,Runtime Terror,Jared Walsh 1B | TEX,,19 sec (11 min 2 sec)
9,Dawg,Trent Grisham OF | NYY ,,17 sec (19 min 39 sec)
10,Simba&#39;s Dublin Green Sox,Eric Lauer P | TOR,,18 sec (17 min 36 sec)
11,Big Sticks,Liam Hendriks P | BOS ,,14 sec (52 min 54 sec)
12,Guillotine,Giovanny Gallegos P | LAD ,,49 sec (23 min 16 sec)
13,Trex,"Miguel Vargas 1B,3B | CHW",,10 sec (12 min 54 sec)
