Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Rieken Havoc,Juan Soto OF | NYM,,
9,Simba&#39;s Dublin Green Sox,Francisco Lindor SS | NYM ,,19 sec
10,Big Sticks,"Javier Baez 3B,SS,OF | DET",,43 sec
11,Trex,Paul Goldschmidt 1B | NYY,,14 sec
12,Gashouse Gang,Will Smith C | LAD ,,1 min 48 sec
13,Rieken Havoc,Corey Seager SS | TEX ,,2 min 41 sec
Round 5
Pick,Team,Player,Elig,Elapsed Time,
1,Rieken Havoc,Freddy Peralta P | MIL ,,8 sec
2,Gashouse Gang,Rhys Hoskins 1B | MIL ,,35 sec
3,Trex,"Salvador Perez C,1B | KC ",,29 sec
4,Big Sticks,Kris Bryant DH | COL ,,1 min 13 sec
5,Simba&#39;s Dublin Green Sox,Tim Anderson SS | LAA,,8 sec
6,Dawg,Brandon Lowe 2B | TB ,,2 min 17 sec
7,Bashers,Jose Berrios P | TOR ,,16 sec
8,Young Guns,George Springer OF | TOR ,,58 sec
9,Guillotine,Justin Verlander P | SF,,18 sec
10,Runtime Terror,Max Muncy 3B | LAD ,,16 sec
11,Long Balls,Austin Riley 3B | ATL ,,1 min 4 sec
12,Like a Nightmare,Joe Musgrove P | SD ,,47 sec
13,Magnum GI,Jorge Polanco 2B | NYM ,,50 sec
Round 6
Pick,Team,Player,Elig,Elapsed Time,
1,Magnum GI,Ryan Mountcastle 1B | BAL,,34 sec
2,Like a Nightmare,Raisel Iglesias P | ATL ,,1 min 57 sec
3,Long Balls,Frankie Montas P | NYM ,,1 min 54 sec
4,Runtime Terror,Edwin Diaz P | LAD ,,1 min 6 sec
5,Guillotine,Nolan Arenado 3B | STL,,42 sec
6,Young Guns,"Jose Altuve 2B,OF | HOU ",,54 sec
7,Bashers,Ryan Pressly P | CHC,,32 sec
8,Dawg,Lance Lynn SP | ,,16 sec
9,Simba&#39;s Dublin Green Sox,J.T. Realmuto C | PHI,,24 sec
10,Big Sticks,Logan Webb P | SF,,48 sec
11,Trex,Wander Franco SS | TB ,,9 sec
12,Gashouse Gang,Craig Kimbrel P | HOU,,1 min 19 sec
13,Rieken Havoc,Charlie Morton P | ATL,,1 min 24 sec
Round 7
Pick,Team,Player,Elig,Elapsed Time,
1,Rieken Havoc,Kyle Schwarber DH | PHI ,,7 sec
2,Gashouse Gang,Bryan Reynolds OF | PIT,,60 sec
3,Trex,Alex Bregman 3B | BOS ,,22 sec
4,Big Sticks,Christian Yelich DH | MIL,,1 min 22 sec
5,Simba&#39;s Dublin Green Sox,Cody Bellinger OF | NYY ,,43 sec
6,Dawg,Eloy Jimenez DH | TB,,2 min 34 sec
7,Bashers,Jose Abreu 1B | HOU,,25 sec
8,Young Guns,Joey Gallo 1B | CHW,,35 sec
9,Guillotine,"Carlos Rodon P | NYY ",,40 sec
10,Runtime Terror,"Carlos Correa 3B,SS | HOU",,1 min 8 sec
11,Long Balls,Tyler O'Neill OF | BAL ,,1 min 33 sec
12,Like a Nightmare,Clayton Kershaw P | LAD,,35 sec
13,Magnum GI,Pablo Lopez P | MIN ,,34 sec
Round 8
Pick,Team,Player,Elig,Elapsed Time,
1,Magnum GI,Randy Arozarena OF | SEA,,1 min 40 sec
2,Like a Nightmare,"Jonathan India 2B,3B,OF | KC ",,36 sec
3,Long Balls,Giancarlo Stanton OF | NYY,,43 sec
4,Runtime Terror,Aroldis Chapman P | BOS,,50 sec
5,Guillotine,Ketel Marte 2B | ARI,,1 min 44 sec
6,Young Guns,Adalberto Mondesi SS | BOS,,40 sec
7,Bashers,Fernando Tatis Jr. OF | SD,,26 sec
8,Dawg,Jordan Romano P | LAA ,,1 min 14 sec
9,Simba&#39;s Dublin Green Sox,Giovanny Gallegos P | LAD ,,13 sec
10,Big Sticks,Emmanuel Clase P | CLE ,,4 min 16 sec
11,Trex,J.D. Martinez DH | NYM,,14 sec
12,Gashouse Gang,Chris Taylor OF | LAA,,2 min 11 sec
13,Rieken Havoc,Bobby Witt SS | KC,,4 sec
Round 9
Pick,Team,Player,Elig,Elapsed Time,
1,Rieken Havoc,Alek Manoah P | LAA ,,2 sec
2,Gashouse Gang,Sean Manaea P | NYM ,,1 min 21 sec
3,Trex,Kenley Jansen P | DET ,,23 sec
4,Big Sticks,Trevor Rogers P | BAL,,1 min 12 sec
5,Simba&#39;s Dublin Green Sox,"Jazz Chisholm 2B,3B | NYY ",,40 sec
6,Dawg,Jesse Winker DH | NYM,,1 min 39 sec
7,Bashers,Willy Adames SS | SF,,41 sec
8,Young Guns,Dylan Cease P | TOR ,,13 sec
9,Guillotine,Blake Snell P | LAD,,24 sec
10,Runtime Terror,Luis Castillo P | SEA,,1 min 35 sec
11,Long Balls,Daulton Varsho OF | TOR,,1 min 52 sec
12,Like a Nightmare,Corey Knebel P | CHW,,1 min 28 sec
13,Magnum GI,Chris Bassitt P | TOR,,41 sec
Round 10
Pick,Team,Player,Elig,Elapsed Time,
1,Magnum GI,Ryan McMahon 3B | NYY,,30 sec
2,Like a Nightmare,Andrew Kittredge P | BAL ,,1 min 46 sec
3,Long Balls,Michael Kopech P | LAD,,36 sec
4,Runtime Terror,Josh Bell 1B | WAS ,,22 sec
5,Guillotine,Anthony Rendon 3B | LAA ,,55 sec
6,Young Guns,Shane McClanahan P | TB ,,1 min 1 sec
7,Bashers,"Tommy Edman 2B,OF | LAD ",,1 min 30 sec
8,Dawg,Bailey Ober P | MIN,,34 sec
9,Simba&#39;s Dublin Green Sox,Scott Barlow P | CIN ,,32 sec
10,Big Sticks,C.J. Cron 1B | BOS,,44 sec
11,Trex,Mitch Haniger OF | SEA,,14 sec
12,Gashouse Gang,Ty France 1B | TOR,,1 min 47 sec
13,Rieken Havoc,Franmil Reyes DH | ,,10 sec
Round 11
Pick,Team,Player,Elig,Elapsed Time,
1,Rieken Havoc,Joey Votto 1B | TOR,,5 sec
2,Gashouse Gang,"Lourdes Gurriel OF | ARI ",,58 sec
3,Trex,Nelson Cruz DH | ,,43 sec
4,Big Sticks,Dansby Swanson SS | CHC,,1 min 44 sec
5,Simba&#39;s Dublin Green Sox,Ranger Suarez P | PHI ,,4 sec
6,Dawg,Marcell Ozuna DH | ATL,,2 min 0 sec
7,Bashers,Willson Contreras 1B | STL ,,1 min 1 sec
8,Young Guns,Yasmani Grandal C | PIT,,47 sec
9,Guillotine,Eduardo Rodriguez P | ARI,,35 sec
10,Runtime Terror,Josh Donaldson 3B | ,,19 sec
11,Long Balls,Patrick Sandoval P | BOS ,,1 min 8 sec
12,Like a Nightmare,Matt Chapman 3B | SF,,1 min 15 sec
13,Magnum GI,David Bednar P | NYY,,1 min 38 sec
Round 12
Pick,Team,Player,Elig,Elapsed Time,
1,Magnum GI,Jared Walsh 1B | TEX,,1 min 8 sec
2,Like a Nightmare,Gleyber Torres 2B | DET ,,44 sec
3,Long Balls,Jorge Soler OF | LAA ,,2 min 56 sec
4,Runtime Terror,Jake Cronenworth 2B | SD,,24 sec
5,Guillotine,Austin Meadows OF | DET,,46 sec
6,Young Guns,Chris Sale P | ATL ,,23 sec
7,Bashers,Adam Wainwright SP | ,,14 sec
8,Dawg,Luis Garcia P | HOU ,,9 sec
9,Simba&#39;s Dublin Green Sox,Adolis Garcia OF | PHI ,,32 sec
10,Big Sticks,Justin Turner 1B | CHC ,,6 sec
11,Trex,Zac Gallen P | ARI ,,27 sec
12,Gashouse Gang,Akil Baddoo OF | MIL ,,1 min 12 sec
13,Rieken Havoc,Taylor Rogers P | CHC,,1 min 24 sec
Round 13
Pick,Team,Player,Elig,Elapsed Time,
1,Rieken Havoc,Jack Flaherty P | DET ,,24 sec
2,Gashouse Gang,Nathan Eovaldi P | TEX ,,2 min 24 sec
3,Trex,Framber Valdez P | HOU ,,1 min 22 sec
4,Big Sticks,Trent Grisham OF | NYY ,,2 min 2 sec
5,Simba&#39;s Dublin Green Sox,Yoan Moncada 3B | LAA,,24 sec
6,Dawg,Kyle Hendricks P | LAA ,,1 min 4 sec
7,Bashers,Mark Melancon P | ARI,,1 min 14 sec
8,Young Guns,Ian Anderson P | ATL,,1 min 33 sec
9,Guillotine,Mike Clevinger P | CHW,,1 min 3 sec
10,Runtime Terror,Tyler Mahle P | TEX,,35 sec
11,Long Balls,Brendan Rodgers 2B | HOU,,37 sec
12,Like a Nightmare,Luis Severino P | ATH,,1 min 19 sec
13,Magnum GI,Matt Barnes P | WAS,,1 min 3 sec
Round 14
Pick,Team,Player,Elig,Elapsed Time,
1,Magnum GI,Avisail Garcia OF | MIA,,33 sec
2,Like a Nightmare,Shane Baz P | TB ,,1 min 8 sec
3,Long Balls,Julio Rodriguez OF | SEA,,1 min 48 sec
4,Runtime Terror,Luke Voit 1B | NYM,,2 min 19 sec
5,Guillotine,Hunter Renfroe OF | KC,,2 min 14 sec
6,Young Guns,Jarred Kelenic OF | ATL,,4 min 14 sec
7,Bashers,Sonny Gray P | BOS ,,16 sec
8,Dawg,Anthony Rizzo 1B | NYY,,25 sec
9,Simba&#39;s Dublin Green Sox,Lou Trivino P | PHI,,15 sec
10,Big Sticks,Gregory Soto P | PIT ,,2 min 52 sec
11,Trex,Dylan Carlson OF | BAL ,,12 sec
12,Gashouse Gang,Tyler Stephenson C | CIN,,1 min 6 sec
13,Rieken Havoc,Triston McKenzie P | CLE ,,2 min 7 sec
Round 15
Pick,Team,Player,Elig,Elapsed Time,
1,Rieken Havoc,Jake McGee RP | ,,33 sec
2,Gashouse Gang,"Tanner Houck P | BOS ",,1 min 6 sec
3,Trex,DJ LeMahieu 2B | NYY,,37 sec
4,Big Sticks,Logan Gilbert P | SEA,,1 min 6 sec
5,Simba&#39;s Dublin Green Sox,Charlie Blackmon RF | ,,13 sec
6,Dawg,Eduardo Escobar 3B | TOR,,3 min 58 sec
7,Bashers,Eddie Rosario DH | MIL,,6 sec
8,Young Guns,Noah Syndergaard P | CLE,,1 min 16 sec
9,Guillotine,Jo Adell OF | LAA,,54 sec
10,Runtime Terror,Trevor Bauer P | LAD,,22 sec
11,Long Balls,Spencer Torkelson 1B | DET,,1 min 17 sec
12,Like a Nightmare,Gavin Lux OF | CIN,,2 min 20 sec
13,Magnum GI,Ian Happ OF | CHC,,1 min 10 sec
Round 16
Pick,Team,Player,Elig,Elapsed Time,
1,Magnum GI,Drew Steckenrider RP | ,,23 sec
2,Like a Nightmare,Seiya Suzuki OF | CHC,,2 min 2 sec
3,Long Balls,John Means P | CLE ,,1 min 22 sec
4,Runtime Terror,Max Kepler OF | PHI,,2 min 30 sec
5,Guillotine,Oneil Cruz OF | PIT,,1 min 39 sec
6,Young Guns,Robbie Grossman OF | KC,,48 sec
7,Bashers,Carlos Carrasco P | ATL,,4 sec
8,Dawg,Marcus Stroman P | NYY,,1 min 26 sec
9,Simba&#39;s Dublin Green Sox,Hyun-Jin Ryu P | TOR,,37 sec
10,Big Sticks,Adam Duvall OF | ATL,,3 min 48 sec
11,Trex,Alex Verdugo OF | ATL,,9 sec
12,Gashouse Gang,Jeimer Candelario 3B | NYY,,3 min 37 sec
13,Rieken Havoc,Lucas Sims P | WAS,,40 sec
Round 17
Pick,Team,Player,Elig,Elapsed Time,
1,Rieken Havoc,Brandon Belt DH | TOR,,27 sec
2,Gashouse Gang,Joe Ryan P | MIN,,28 sec
3,Trex,Dakota Hudson P | LAA,,7 min 49 sec
4,Big Sticks,Joe Barlow P | TEX,,12 sec
5,Simba&#39;s Dublin Green Sox,Jesus Aguilar 1B | ,,16 sec
6,Dawg,Kolten Wong 2B | BAL,,1 min 57 sec
7,Bashers,Devin Williams P | NYM ,,24 sec
8,Young Guns,Jesus Luzardo P | PHI,,19 sec
9,Guillotine,Mitch Garver C | SEA ,,1 min 9 sec
10,Runtime Terror,Gary Sanchez C | BAL,,56 sec
11,Long Balls,Alex Kirilloff OF | MIN,,1 min 44 sec
12,Like a Nightmare,Robert Suarez P | ATL ,,3 min 12 sec
13,Magnum GI,Jean Segura 3B | ,,36 sec
Round 18
Pick,Team,Player,Elig,Elapsed Time,
1,Magnum GI,Alex Cobb P | DET,,17 sec
2,Like a Nightmare,Paul Sewald P | DET ,,46 sec
3,Long Balls,MacKenzie Gore P | WAS ,,1 min 55 sec
4,Runtime Terror,Andrew Benintendi OF | CHW ,,55 sec
5,Guillotine,Blake Treinen P | LAD,,1 min 7 sec
6,Young Guns,Hunter Greene P | CIN,,1 min 17 sec
7,Bashers,Alex Wood P | ATH,,19 sec
8,Dawg,Travis d'Arnaud C | LAA ,,1 min 44 sec
9,Simba&#39;s Dublin Green Sox,Harrison Bader OF | PHI ,,11 sec
10,Big Sticks,Tarik Skubal P | DET ,,11 sec
11,Trex,Nicky Lopez 3B | ARI ,,14 sec
12,Gashouse Gang,"Enrique Hernandez 1B,3B,OF | LAD ",,59 sec
13,Rieken Havoc,Tommy Pham OF | PIT ,,22 sec
Round 19
Pick,Team,Player,Elig,Elapsed Time,
1,Rieken Havoc,Ke'Bryan Hayes 3B | CIN,,6 sec
2,Gashouse Gang,Garrett Whitlock P | BOS,,1 min 33 sec
3,Trex,Aaron Ashby P | MIL,,12 sec
4,Big Sticks,Jose Urquidy P | DET ,,2 min 10 sec
5,Simba&#39;s Dublin Green Sox,Trey Mancini 1B | ARI,,23 sec
6,Dawg,Camilo Doval P | NYY,,1 min 40 sec
7,Bashers,Frank Schwindel 1B | ,,40 sec
8,Young Guns,Bryson Stott 2B | PHI,,39 sec
9,Guillotine,Randal Grichuk OF | KC ,,1 min 12 sec
10,Runtime Terror,Jon Gray P | TEX,,8 sec
11,Long Balls,Jordan Hicks P | BOS ,,2 min 11 sec
12,Like a Nightmare,Miguel Sano 3B | LAA ,,1 min 13 sec
13,Magnum GI,Jesus Sanchez OF | HOU,,1 min 44 sec
Round 20
Pick,Team,Player,Elig,Elapsed Time,
1,Magnum GI,Tony Gonsolin P | LAD ,,15 sec
2,Like a Nightmare,Alejandro Kirk C | TOR ,,1 min 50 sec
3,Long Balls,Cole Sulser P | TB ,,1 min 29 sec
4,Runtime Terror,Stephen Strasburg SP | ,,6 sec
5,Guillotine,Yuli Gurriel DH | SD,,1 min 24 sec
6,Young Guns,Eugenio Suarez 3B | SEA,,50 sec
7,Bashers,A.J. Pollock LF | ,,39 sec
8,Dawg,Art Warren P | NYY,,1 min 20 sec
9,Simba&#39;s Dublin Green Sox,Zach Plesac P | LAA,,32 sec
10,Big Sticks,Brandon Crawford SS | ,,38 sec
11,Trex,Jordan Montgomery P | MIL,,10 sec
12,Gashouse Gang,Hector Neris P | HOU,,1 min 28 sec
13,Rieken Havoc,Adley Rutschman C | BAL,,8 sec
Round 21
Pick,Team,Player,Elig,Elapsed Time,
1,Rieken Havoc,Alex Colome P | CHW,,3 sec
2,Gashouse Gang,Tanner Rainey P | DET ,,1 min 57 sec
3,Trex,Matt Brash P | SEA,,10 sec
4,Big Sticks,Keibert Ruiz C | WAS ,,25 sec
5,Simba&#39;s Dublin Green Sox,Marco Gonzales P | PIT,,25 sec
6,Dawg,Lorenzo Cain CF | ,,2 min 1 sec
7,Bashers,Michael Brantley LF | ,,1 min 6 sec
8,Young Guns,Jeremy Pena SS | HOU,,19 sec
9,Guillotine,Anthony DeSclafani P | ARI,,30 sec
10,Runtime Terror,Myles Straw OF | TOR,,4 sec
11,Long Balls,"Isiah Kiner-Falefa 3B,SS | TOR",,3 min 27 sec
12,Like a Nightmare,Mark Canha OF | KC,,56 sec
13,Magnum GI,Yadier Molina C | ,,41 sec
