Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,Ronald Acuna Jr. OF | ATL ,,
8,Simba's Dublin Green Sox,Aaron Nola P | PHI,,33 sec
9,Magnum GI,Freddy Peralta P | MIL,,1 min 26 sec
10,Young Guns,Randy Arozarena OF | SEA,,1 min 8 sec
11,Like a Nightmare,"Jazz Chisholm 2B,3B | NYY ",,1 min 45 sec
12,Rieken Havoc,Tarik Skubal P | DET ,,8 sec
13,Bashers,Edwin Diaz P | LAD ,,1 min 31 sec
Round 5
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,Josh Hader P | HOU ,,18 sec
2,Rieken Havoc,Kevin Gausman P | TOR,,10 sec
3,Like a Nightmare,Logan Gilbert P | SEA,,43 sec
4,Young Guns,Nolan Jones OF | CLE ,,1 min 12 sec
5,Magnum GI,Jesus Luzardo P | PHI,,1 min 6 sec
6,Simba's Dublin Green Sox,Max Fried P | NYY,,21 sec
7,Dawg,Paul Goldschmidt 1B | NYY,,54 sec
8,Trex,*Bo Bichette SS | TOR ,,0 sec
9,Runtime Terror,Bryan Reynolds OF | PIT,,9 sec
10,Gashouse Gang,Raisel Iglesias P | ATL ,,55 sec
11,Guillotine,Wyatt Langford OF | TEX ,,38 sec
12,Big Sticks,Blake Snell P | LAD,,1 min 25 sec
13,Long Balls,Cole Ragans P | KC,,1 min 48 sec
Round 6
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Cody Bellinger OF | NYY,,1 min 59 sec
2,Big Sticks,Zach Eflin P | BAL,,1 min 49 sec
3,Guillotine,Bobby Miller P | LAD,,48 sec
4,Gashouse Gang,Andres Gimenez 2B | TOR,,1 min 30 sec
5,Runtime Terror,C.J. Abrams SS | WAS,,10 sec
6,Trex,"*Gerrit Cole P | NYY ",,0 sec
7,Dawg,Emmanuel Clase P | CLE ,,51 sec
8,Simba's Dublin Green Sox,Nolan Arenado 3B | STL,,1 min 24 sec
9,Magnum GI,Ketel Marte 2B | ARI,,13 sec
10,Young Guns,Grayson Rodriguez P | LAA ,,43 sec
11,Like a Nightmare,Dylan Cease P | TOR ,,19 sec
12,Rieken Havoc,Christian Yelich DH | MIL,,29 sec
13,Bashers,Alex Bregman 3B | BOS,,1 min 8 sec
Round 7
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,George Springer OF | TOR,,26 sec
2,Rieken Havoc,Joshua Lowe OF | TB,,1 min 7 sec
3,Like a Nightmare,Adley Rutschman C | BAL,,1 min 39 sec
4,Young Guns,Camilo Doval P | NYY,,1 min 27 sec
5,Magnum GI,Pete Fairbanks P | TB ,,41 sec
6,Simba's Dublin Green Sox,Evan Phillips P | LAD ,,13 sec
7,Dawg,Alexis Diaz P | TEX ,,22 sec
8,Trex,*Nico Hoerner 2B | CHC,,0 sec
9,Runtime Terror,Zack Gelof 2B | ATH ,,1 min 21 sec
10,Gashouse Gang,J.T. Realmuto C | PHI,,41 sec
11,Guillotine,Seiya Suzuki OF | CHC,,43 sec
12,Big Sticks,Christian Walker 1B | HOU,,1 min 34 sec
13,Long Balls,Paul Sewald P | DET ,,1 min 51 sec
Round 8
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Jackson Chourio OF | MIL,,38 sec
2,Big Sticks,Ha-seong Kim SS | ATL ,,1 min 10 sec
3,Guillotine,Triston Casas 1B | BOS ,,34 sec
4,Gashouse Gang,William Contreras C | MIL ,,29 sec
5,Runtime Terror,Clay Holmes P | NYM,,4 sec
6,Trex,*Devin Williams P | NYM ,,1 sec
7,Dawg,Xander Bogaerts SS | SD,,1 min 12 sec
8,Simba's Dublin Green Sox,Will Smith C | LAD,,37 sec
9,Magnum GI,Yu Darvish P | SD ,,1 min 31 sec
10,Young Guns,Chris Sale P | ATL ,,2 min 3 sec
11,Like a Nightmare,Gleyber Torres 2B | DET ,,11 sec
12,Rieken Havoc,David Bednar P | NYY,,54 sec
13,Bashers,"Justin Steele P | CHC ",,50 sec
Round 9
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,Shane Bieber P | TOR ,,27 sec
2,Rieken Havoc,"Carlos Rodon P | NYY ",,32 sec
3,Like a Nightmare,Andres Munoz P | SEA ,,6 sec
4,Young Guns,Max Muncy 3B | LAD ,,1 min 2 sec
5,Magnum GI,Jose Alvarado P | PHI ,,28 sec
6,Simba's Dublin Green Sox,Nick Castellanos OF | PHI ,,1 min 1 sec
7,Dawg,Joe Musgrove P | SD ,,58 sec
8,Trex,*Matt McLain 2B | CIN,,1 sec
9,Runtime Terror,Evan Carter OF | TEX ,,22 sec
10,Gashouse Gang,*Spencer Steer 1B | CIN,,2 min 0 sec
11,Guillotine,Ryan Helsley P | BAL ,,24 sec
12,Big Sticks,Joe Ryan P | MIN,,1 min 6 sec
13,Long Balls,Bailey Ober P | MIN,,58 sec
Round 10
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Christian Encarnacion-Strand 1B | CIN,,33 sec
2,Big Sticks,Jhoan Duran P | PHI,,1 min 16 sec
3,Guillotine,Jake Burger 1B | TEX ,,43 sec
4,Gashouse Gang,Lane Thomas OF | KC ,,7 sec
5,Runtime Terror,Byron Buxton OF | MIN,,4 sec
6,Trex,*Eury Perez P | MIA,,1 sec
7,Dawg,Josh Naylor 1B | SEA ,,1 min 12 sec
8,Simba's Dublin Green Sox,Anthony Santander OF | TOR ,,19 sec
9,Magnum GI,Yandy Diaz 1B | TB,,1 min 34 sec
10,Young Guns,Tanner Bibee P | CLE,,1 min 8 sec
11,Like a Nightmare,Dansby Swanson SS | CHC,,1 min 40 sec
12,Rieken Havoc,Jordan Romano P | LAA ,,3 sec
13,Bashers,Spencer Torkelson 1B | DET,,1 min 4 sec
Round 11
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,Teoscar Hernandez OF | LAD,,46 sec
2,Rieken Havoc,Vinnie Pasquantino 1B | KC,,7 sec
3,Like a Nightmare,Esteury Ruiz OF | LAD,,34 sec
4,Young Guns,Chris Bassitt P | TOR,,1 min 11 sec
5,Magnum GI,Trevor Story SS | BOS ,,33 sec
6,Simba's Dublin Green Sox,Rhys Hoskins 1B | MIL ,,14 sec
7,Dawg,Sean Murphy C | ATL ,,1 min 3 sec
8,Trex,*Bryson Stott 2B | PHI,,0 sec
9,Runtime Terror,Michael King P | SD ,,14 sec
10,Gashouse Gang,Chas McCormick OF | HOU ,,43 sec
11,Guillotine,Shota Imanaga P | CHC ,,18 sec
12,Big Sticks,Craig Kimbrel P | HOU,,1 min 27 sec
13,Long Balls,Merrill Kelly P | ARI ,,43 sec
Round 12
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Mitch Keller P | PIT,,7 sec
2,Big Sticks,Tanner Scott P | LAD ,,19 sec
3,Guillotine,Robert Suarez P | ATL ,,4 sec
4,Gashouse Gang,Riley Greene OF | DET,,25 sec
5,Runtime Terror,"Anthony Volpe SS | NYY ",,8 sec
6,Trex,*Yainer Diaz C | HOU,,0 sec
7,Dawg,Jordan Walker OF | STL ,,1 min 35 sec
8,Simba's Dublin Green Sox,Adbert Alzolay P | NYM ,,38 sec
9,Magnum GI,Nathan Eovaldi P | TEX ,,34 sec
10,Young Guns,Kenley Jansen P | DET ,,1 min 28 sec
11,Like a Nightmare,Cedric Mullins OF | TB ,,19 sec
12,Rieken Havoc,"Nolan Gorman 2B,3B | STL",,14 sec
13,Bashers,Sonny Gray P | BOS ,,17 sec
Round 13
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,Jose Leclerc P | ATH,,1 min 58 sec
2,Rieken Havoc,Jackson Holliday 2B | BAL,,15 sec
3,Like a Nightmare,Justin Verlander P | SF,,1 min 42 sec
4,Young Guns,Walker Buehler P | PHI,,1 min 50 sec
5,Magnum GI,Christopher Morel OF | MIA ,,9 sec
6,Simba's Dublin Green Sox,Jarren Duran OF | BOS ,,13 sec
7,Dawg,Thairo Estrada 2B | COL ,,25 sec
8,Trex,*Josh Jung 3B | TEX,,1 sec
9,Runtime Terror,Jorge Soler OF | LAA ,,1 min 47 sec
10,Gashouse Gang,Willy Adames SS | SF,,31 sec
11,Guillotine,Kodai Senga P | NYM,,4 sec
12,Big Sticks,Ian Happ OF | CHC,,17 sec
13,Long Balls,Max Scherzer P | TOR,,1 min 46 sec
Round 14
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Giancarlo Stanton OF | NYY,,1 min 21 sec
2,Big Sticks,Marcell Ozuna DH | ATL,,20 sec
3,Guillotine,Aaron Civale P | CHC,,28 sec
4,Gashouse Gang,"Salvador Perez C,1B | KC ",,23 sec
5,Runtime Terror,Hunter Brown P | HOU,,56 sec
6,Trex,*Jordan Montgomery P | MIL,,0 sec
7,Dawg,Hunter Greene P | CIN,,1 min 49 sec
8,Simba's Dublin Green Sox,Cristian Javier P | HOU,,11 sec
9,Magnum GI,Charlie Morton P | ATL,,15 sec
10,Young Guns,Gavin Williams P | CLE,,1 min 54 sec
11,Like a Nightmare,Ke'Bryan Hayes 3B | CIN,,31 sec
12,Rieken Havoc,Jeimer Candelario 3B | NYY,,1 min 4 sec
13,Bashers,Luis Arraez 1B | SD,,38 sec
Round 15
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,Eloy Jimenez DH | TB,,41 sec
2,Rieken Havoc,Bryan Woo P | SEA,,15 sec
3,Like a Nightmare,Bryce Miller P | SEA,,46 sec
4,Young Guns,James Outman OF | MIN,,56 sec
5,Magnum GI,Will Smith P | KC,,1 min 53 sec
6,Simba's Dublin Green Sox,Ryan McMahon 3B | NYY,,17 sec
7,Dawg,Starling Marte DH | NYM,,1 min 14 sec
8,Trex,*Jose Berrios P | TOR ,,1 sec
9,Runtime Terror,Anthony Rizzo 1B | NYY,,40 sec
10,Gashouse Gang,"Carlos Correa 3B,SS | HOU",,13 sec
11,Guillotine,Nick Pivetta P | SD,,45 sec
12,Big Sticks,Brandon Nimmo OF | TEX ,,1 min 46 sec
13,Long Balls,Brandon Pfaadt P | ARI,,1 min 54 sec
Round 16
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Mason Miller P | SD ,,1 min 29 sec
2,Big Sticks,Carlos Estevez P | KC,,1 min 34 sec
3,Guillotine,"Edouard Julien 1B,2B | MIN",,5 sec
4,Gashouse Gang,Ryan Pepiot P | TB,,22 sec
5,Runtime Terror,Isaac Paredes 3B | HOU ,,5 sec
6,Trex,"*Noelvi Marte 3B,OF | CIN",,1 sec
7,Dawg,Joel Payamps P | ATL ,,54 sec
8,Simba's Dublin Green Sox,Kerry Carpenter OF | DET,,14 sec
9,Magnum GI,Jorge Mateo OF | BAL,,14 sec
10,Young Guns,Justin Turner 1B | CHC ,,1 min 38 sec
11,Like a Nightmare,Hunter Harvey P | KC,,13 sec
12,Rieken Havoc,Junior Caminero 3B | TB,,8 sec
13,Bashers,Nestor Cortes P | SD,,39 sec
Round 17
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,Triston McKenzie P | CLE ,,3 sec
2,Rieken Havoc,Alex Lange P | KC ,,14 sec
3,Like a Nightmare,Matt Chapman 3B | SF,,52 sec
4,Young Guns,*Francisco Alvarez C | NYM ,,2 min 2 sec
5,Magnum GI,Brent Rooker OF | ATH,,46 sec
6,Simba's Dublin Green Sox,Kyle Finnegan P | DET ,,9 sec
7,Dawg,Lars Nootbaar OF | STL ,,1 min 13 sec
8,Trex,Masataka Yoshida DH | BOS,,17 sec
9,Runtime Terror,Marcus Stroman P | NYY,,4 sec
10,Gashouse Gang,Cristopher Sanchez P | PHI,,16 sec
11,Guillotine,Willson Contreras 1B | STL ,,45 sec
12,Big Sticks,"Tommy Edman 2B,OF | LAD ",,40 sec
13,Long Balls,Jackson Merrill OF | SD,,4 sec
Round 18
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,"A.J. Puk P | ARI ",,1 min 27 sec
2,Big Sticks,Cal Raleigh C | SEA,,45 sec
3,Guillotine,Ezequiel Tovar SS | COL,,6 sec
4,Gashouse Gang,Kutter Crawford P | BOS ,,34 sec
5,Runtime Terror,Kris Bryant DH | COL ,,7 sec
6,Trex,Steven Kwan OF | CLE,,7 sec
7,Dawg,Griffin Canning P | NYM,,48 sec
8,Simba's Dublin Green Sox,Miles Mikolas P | STL,,22 sec
9,Magnum GI,Eugenio Suarez 3B | SEA,,47 sec
10,Young Guns,Kyle Harrison P | BOS,,23 sec
11,Like a Nightmare,Robert Stephenson P | LAA ,,3 sec
12,Rieken Havoc,"Jonathan India 2B,3B,OF | KC ",,15 sec
13,Bashers,J.P. Crawford SS | SEA,,29 sec
Round 19
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,Tyler O'Neill OF | BAL,,34 sec
2,Rieken Havoc,Clayton Kershaw P | LAD,,16 sec
3,Like a Nightmare,Taj Bradley P | MIN,,38 sec
4,Young Guns,Jack Suwinski OF | PIT ,,43 sec
5,Magnum GI,Logan O'Hoppe C | LAA,,1 min 19 sec
6,Simba's Dublin Green Sox,Sean Manaea P | NYM ,,1 min 1 sec
7,Dawg,Jorge Polanco 2B | NYM ,,1 min 8 sec
8,Trex,Brendan Donovan 2B | STL ,,12 sec
9,Runtime Terror,Andrew Vaughn 1B | MIL,,32 sec
10,Gashouse Gang,Garrett Whitlock P | BOS,,38 sec
11,Guillotine,Gavin Stone P | LAD ,,22 sec
12,Big Sticks,Nate Lowe 1B | BOS ,,40 sec
13,Long Balls,Victor Scott II OF | STL,,1 min 10 sec
Round 20
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Maikel Garcia 3B | KC ,,1 min 7 sec
2,Big Sticks,Eduardo Rodriguez P | ARI,,38 sec
3,Guillotine,Daulton Varsho OF | TOR,,7 sec
4,Gashouse Gang,Reese Olson P | DET ,,8 sec
5,Runtime Terror,Casey Mize P | DET,,3 sec
6,Trex,Brayan Bello P | BOS,,32 sec
7,Dawg,Yusei Kikuchi P | LAA ,,22 sec
8,Simba's Dublin Green Sox,A.J. Minter P | NYM ,,8 sec
9,Magnum GI,DL Hall P | MIL,,18 sec
10,Young Guns,Jarred Kelenic OF | ATL,,48 sec
11,Like a Nightmare,Kyle Bradish P | BAL,,9 sec
12,Rieken Havoc,Mitch Garver C | SEA,,10 sec
13,Bashers,Brandon Lowe 2B | PIT ,,54 sec
Round 21
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,Gabriel Moreno C | ARI,,48 sec
2,Rieken Havoc,Jasson Dominguez OF | NYY,,6 sec
3,Like a Nightmare,Alec Bohm 3B | PHI,,1 min 15 sec
4,Young Guns,Zachary Neto SS | LAA ,,1 min 2 sec
5,Magnum GI,Adam Duvall OF | ATL,,1 min 28 sec
6,Simba's Dublin Green Sox,Jose Abreu 1B | HOU,,8 sec
7,Dawg,James Paxton P | BOS,,19 sec
8,Trex,Erick Fedde P | MIL,,60 sec
9,Runtime Terror,Austin Wells C | NYY,,4 sec
10,Gashouse Gang,Ryan Pressly P | CHC,,20 sec
11,Guillotine,Kenta Maeda P | NYY ,,4 sec
12,Big Sticks,Reid Detmers P | LAA ,,6 sec
13,Long Balls,*Luis Severino P | ATH,,2 min 2 sec
Round 22
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Jonah Heim C | TEX ,,1 min 49 sec (24 min 4 sec)
2,Big Sticks,Jeremy Pena SS | HOU,,27 sec (23 min 18 sec)
3,Guillotine,Paul Skenes P | PIT ,,37 sec (8 min 56 sec)
4,Gashouse Gang,Andrew Nardi P | MIA,,6 sec (13 min 42 sec)
5,Runtime Terror,*Jake Fraley OF | TB ,,0 sec (7 min 29 sec)
6,Trex,Sal Frelick OF | MIL,,8 sec (4 min 24 sec)
7,Dawg,Jung Hoo Lee OF | SF,,18 sec (18 min 5 sec)
8,Simba's Dublin Green Sox,"Ceddanne Rafaela 2B,OF | BOS ",,18 sec (10 min 51 sec)
9,Magnum GI,"Jose Caballero 2B,3B,SS,OF | NYY",,7 sec (16 min 51 sec)
10,Young Guns,MacKenzie Gore P | WAS ,,2 min 0 sec (28 min 18 sec)
11,Like a Nightmare,"Brock Stewart P | LAD ",,3 sec (14 min 30 sec)
12,Rieken Havoc,Gavin Lux OF | CIN,,34 sec (8 min 5 sec)
13,Bashers,Michael Kopech P | LAD,,6 sec (15 min 0 sec)
